t,r,x,v,p1_bar,p2_bar,ps_bar,u_cmd,xv1,xv2,F_ext
2.845000,0.200000,0.104718,0.002784,11.859419,24.214831,149.820127,0.032111,0.032077,0.032077,0.000000
2.850000,0.200000,0.104732,0.002786,11.863793,24.223760,149.820011,0.032133,0.032098,0.032098,0.000000
2.855000,0.200000,0.104746,0.002787,11.868165,24.232683,149.819895,0.032154,0.032119,0.032119,0.000000
2.860000,0.200000,0.104760,0.002789,11.872535,24.241602,149.819779,0.032175,0.032141,0.032141,0.000000
2.865000,0.200000,0.104774,0.002791,11.876902,24.250516,149.819663,0.032196,0.032162,0.032162,0.000000
2.870000,0.200000,0.104788,0.002793,11.881266,24.259425,149.819547,0.032217,0.032183,0.032183,0.000000
2.875000,0.200000,0.104802,0.002795,11.885629,24.268330,149.819431,0.032238,0.032204,0.032204,0.000000
2.880000,0.200000,0.104816,0.002797,11.889989,24.277229,149.819315,0.032260,0.032225,0.032225,0.000000
2.885000,0.200000,0.104830,0.002799,11.894347,24.286124,149.819199,0.032281,0.032246,0.032246,0.000000
2.890000,0.200000,0.104844,0.002801,11.898702,24.295014,149.819083,0.032302,0.032268,0.032268,0.000000
2.895000,0.200000,0.104858,0.002803,11.903055,24.303899,149.818968,0.032323,0.032289,0.032289,0.000000
2.900000,0.200000,0.104872,0.002805,11.907405,24.312779,149.818852,0.032344,0.032310,0.032310,0.000000
2.905000,0.200000,0.104886,0.002807,11.911753,24.321654,149.818736,0.032365,0.032331,0.032331,0.000000
2.910000,0.200000,0.104900,0.002809,11.916099,24.330524,149.818620,0.032386,0.032352,0.032352,0.000000
2.915000,0.200000,0.104914,0.002810,11.920442,24.339390,149.818504,0.032408,0.032373,0.032373,0.000000
2.920000,0.200000,0.104928,0.002812,11.924783,24.348250,149.818389,0.032429,0.032394,0.032394,0.000000
2.925000,0.200000,0.104942,0.002814,11.929122,24.357106,149.818273,0.032450,0.032416,0.032416,0.000000
2.930000,0.200000,0.104956,0.002816,11.933458,24.365957,149.818157,0.032471,0.032437,0.032437,0.000000
2.935000,0.200000,0.104970,0.002818,11.937792,24.374803,149.818042,0.032492,0.032458,0.032458,0.000000
2.940000,0.200000,0.104984,0.002820,11.942123,24.383643,149.817926,0.032513,0.032479,0.032479,0.000000
2.945000,0.200000,0.104998,0.002822,11.946452,24.392479,149.817810,0.032534,0.032500,0.032500,0.000000
2.950000,0.200000,0.105012,0.002824,11.950778,24.401310,149.817695,0.032555,0.032521,0.032521,0.000000
2.955000,0.200000,0.105027,0.002826,11.955103,24.410136,149.817579,0.032576,0.032542,0.032542,0.000000
2.960000,0.200000,0.105041,0.002828,11.959424,24.418958,149.817464,0.032598,0.032563,0.032563,0.000000
2.965000,0.200000,0.105055,0.002830,11.963743,24.427774,149.817348,0.032619,0.032584,0.032584,0.000000
2.970000,0.200000,0.105069,0.002831,11.968060,24.436585,149.817233,0.032640,0.032606,0.032606,0.000000
2.975000,0.200000,0.105083,0.002833,11.972375,24.445391,149.817117,0.032661,0.032627,0.032627,0.000000
2.980000,0.200000,0.105097,0.002835,11.976686,24.454192,149.817002,0.032682,0.032648,0.032648,0.000000
2.985000,0.200000,0.105112,0.002837,11.980996,24.462989,149.816886,0.032703,0.032669,0.032669,0.000000
2.990000,0.200000,0.105126,0.002839,11.985303,24.471780,149.816771,0.032724,0.032690,0.032690,0.000000
2.995000,0.200000,0.105140,0.002841,11.989607,24.480566,149.816656,0.032745,0.032711,0.032711,0.000000
3.000000,0.200000,0.105154,0.002843,11.993910,24.489347,149.816540,0.032766,0.032732,0.032732,0.000000
3.005000,0.200000,0.105168,0.002845,11.998209,24.498124,149.816425,0.032787,0.032753,0.032753,0.000000
3.010000,0.200000,0.105183,0.002847,12.002506,24.506895,149.816310,0.032808,0.032774,0.032774,0.000000
3.015000,0.200000,0.105197,0.002849,12.006801,24.515661,149.816194,0.032829,0.032795,0.032795,0.000000
3.020000,0.200000,0.105211,0.002850,12.011093,24.524422,149.816079,0.032850,0.032816,0.032816,0.000000
3.025000,0.200000,0.105225,0.002852,12.015383,24.533178,149.815964,0.032871,0.032837,0.032837,0.000000
3.030000,0.200000,0.105240,0.002854,12.019671,24.541929,149.815848,0.032892,0.032858,0.032858,0.000000
3.035000,0.200000,0.105254,0.002856,12.023955,24.550675,149.815733,0.032914,0.032879,0.032879,0.000000
3.040000,0.200000,0.105268,0.002858,12.028238,24.559416,149.815618,0.032935,0.032901,0.032901,0.000000
3.045000,0.200000,0.105282,0.002860,12.032518,24.568152,149.815503,0.032956,0.032922,0.032922,0.000000
3.050000,0.200000,0.105297,0.002862,12.036795,24.576882,149.815388,0.032977,0.032943,0.032943,0.000000
3.055000,0.200000,0.105311,0.002864,12.041070,24.585608,149.815273,0.032998,0.032964,0.032964,0.000000
3.060000,0.200000,0.105325,0.002866,12.045342,24.594329,149.815157,0.033019,0.032985,0.032985,0.000000
3.065000,0.200000,0.105340,0.002868,12.049612,24.603044,149.815042,0.033040,0.033006,0.033006,0.000000
3.070000,0.200000,0.105354,0.002869,12.053880,24.611754,149.814927,0.033061,0.033027,0.033027,0.000000
3.075000,0.200000,0.105368,0.002871,12.058144,24.620460,149.814812,0.033082,0.033048,0.033048,0.000000
3.080000,0.200000,0.105383,0.002873,12.062407,24.629160,149.814697,0.033103,0.033069,0.033069,0.000000
3.085000,0.200000,0.105397,0.002875,12.066667,24.637855,149.814582,0.033124,0.033090,0.033090,0.000000
3.090000,0.200000,0.105412,0.002877,12.070924,24.646545,149.814467,0.033145,0.033111,0.033111,0.000000
3.095000,0.200000,0.105426,0.002879,12.075179,24.655229,149.814352,0.033166,0.033132,0.033132,0.000000
3.100000,0.200000,0.105440,0.002881,12.079431,24.663909,149.814237,0.033187,0.033153,0.033153,0.000000
3.105000,0.200000,0.105455,0.002883,12.083681,24.672583,149.814123,0.033208,0.033174,0.033174,0.000000
3.110000,0.200000,0.105469,0.002885,12.087928,24.681253,149.814008,0.033229,0.033195,0.033195,0.000000
3.115000,0.200000,0.105484,0.002887,12.092173,24.689917,149.813893,0.033250,0.033216,0.033216,0.000000
3.120000,0.200000,0.105498,0.002888,12.096415,24.698576,149.813778,0.033271,0.033237,0.033237,0.000000
3.125000,0.200000,0.105512,0.002890,12.100655,24.707229,149.813663,0.033292,0.033258,0.033258,0.000000
3.130000,0.200000,0.105527,0.002892,12.104892,24.715878,149.813548,0.033313,0.033279,0.033279,0.000000
3.135000,0.200000,0.105541,0.002894,12.109127,24.724521,149.813434,0.033334,0.033300,0.033300,0.000000
3.140000,0.200000,0.105556,0.002896,12.113359,24.733160,149.813319,0.033355,0.033321,0.033321,0.000000
3.145000,0.200000,0.105570,0.002898,12.117588,24.741793,149.813204,0.033376,0.033342,0.033342,0.000000
3.150000,0.200000,0.105585,0.002900,12.121815,24.750420,149.813089,0.033397,0.033363,0.033363,0.000000
3.155000,0.200000,0.105599,0.002902,12.126040,24.759043,149.812975,0.033418,0.033384,0.033384,0.000000
3.160000,0.200000,0.105614,0.002904,12.130262,24.767660,149.812860,0.033438,0.033405,0.033405,0.000000
3.165000,0.200000,0.105628,0.002906,12.134481,24.776272,149.812745,0.033459,0.033426,0.033426,0.000000
3.170000,0.200000,0.105643,0.002907,12.138698,24.784879,149.812631,0.033480,0.033446,0.033446,0.000000
3.175000,0.200000,0.105657,0.002909,12.142912,24.793481,149.812516,0.033501,0.033467,0.033467,0.000000
3.180000,0.200000,0.105672,0.002911,12.147123,24.802077,149.812402,0.033522,0.033488,0.033488,0.000000
3.185000,0.200000,0.105687,0.002913,12.151332,24.810668,149.812287,0.033543,0.033509,0.033509,0.000000
3.190000,0.200000,0.105701,0.002915,12.155539,24.819254,149.812172,0.033564,0.033530,0.033530,0.000000
3.195000,0.200000,0.105716,0.002917,12.159743,24.827835,149.812058,0.033585,0.033551,0.033551,0.000000
3.200000,0.200000,0.105730,0.002919,12.163944,24.836410,149.811943,0.033606,0.033572,0.033572,0.000000
3.205000,0.200000,0.105745,0.002921,12.168143,24.844980,149.811829,0.033627,0.033593,0.033593,0.000000
3.210000,0.200000,0.105760,0.002923,12.172339,24.853545,149.811715,0.033648,0.033614,0.033614,0.000000
3.215000,0.200000,0.105774,0.002925,12.176532,24.862104,149.811600,0.033669,0.033635,0.033635,0.000000
3.220000,0.200000,0.105789,0.002926,12.180723,24.870658,149.811486,0.033690,0.033656,0.033656,0.000000
3.225000,0.200000,0.105803,0.002928,12.184912,24.879207,149.811371,0.033711,0.033677,0.033677,0.000000
3.230000,0.200000,0.105818,0.002930,12.189097,24.887751,149.811257,0.033731,0.033698,0.033698,0.000000
3.235000,0.200000,0.105833,0.002932,12.193280,24.896289,149.811143,0.033752,0.033719,0.033719,0.000000
3.240000,0.200000,0.105847,0.002934,12.197461,24.904822,149.811028,0.033773,0.033739,0.033739,0.000000
3.245000,0.200000,0.105862,0.002936,12.201639,24.913349,149.810914,0.033794,0.033760,0.033760,0.000000
3.250000,0.200000,0.105877,0.002938,12.205814,24.921872,149.810800,0.033815,0.033781,0.033781,0.000000
3.255000,0.200000,0.105891,0.002940,12.209987,24.930389,149.810686,0.033836,0.033802,0.033802,0.000000
3.260000,0.200000,0.105906,0.002942,12.214157,24.938900,149.810571,0.033857,0.033823,0.033823,0.000000
3.265000,0.200000,0.105921,0.002943,12.218324,24.947406,149.810457,0.033878,0.033844,0.033844,0.000000
3.270000,0.200000,0.105936,0.002945,12.222489,24.955907,149.810343,0.033899,0.033865,0.033865,0.000000
3.275000,0.200000,0.105950,0.002947,12.226651,24.964403,149.810229,0.033919,0.033886,0.033886,0.000000
3.280000,0.200000,0.105965,0.002949,12.230811,24.972893,149.810115,0.033940,0.033907,0.033907,0.000000
3.285000,0.200000,0.105980,0.002951,12.234968,24.981378,149.810000,0.033961,0.033927,0.033927,0.000000
3.290000,0.200000,0.105995,0.002953,12.239122,24.989857,149.809886,0.033982,0.033948,0.033948,0.000000
3.295000,0.200000,0.106009,0.002955,12.243274,24.998331,149.809772,0.034003,0.033969,0.033969,0.000000
