t,r,x,v,p1_bar,p2_bar,ps_bar,u_cmd,xv1,xv2,F_ext
0.490000,0.050000,0.050000,0.000000,10.005674,20.437535,149.999976,0.000004,0.000004,0.000004,0.000000
0.495000,0.050000,0.050000,0.000000,10.005673,20.437537,149.999976,0.000004,0.000004,0.000004,0.000000
0.500000,0.050000,0.050000,0.000000,10.005674,20.437539,149.999977,0.000004,0.000004,0.000004,0.000000
0.505000,0.050000,0.050000,0.000000,10.005675,20.437540,149.999977,0.000004,0.000004,0.000004,0.000000
0.510000,0.050000,0.050000,0.000000,10.005675,20.437542,149.999978,0.000004,0.000004,0.000004,0.000000
0.515000,0.050000,0.050000,0.000000,10.005677,20.437543,149.999978,0.000004,0.000004,0.000004,0.000000
0.520000,0.050000,0.050000,0.000000,10.005677,20.437545,149.999978,0.000004,0.000004,0.000004,0.000000
0.525000,0.050000,0.050000,0.000000,10.005678,20.437547,149.999979,0.000004,0.000004,0.000004,0.000000
0.530000,0.050000,0.050000,0.000000,10.005679,20.437548,149.999979,0.000003,0.000004,0.000004,0.000000
0.535000,0.050000,0.050000,0.000000,10.005679,20.437550,149.999979,0.000003,0.000004,0.000004,0.000000
0.540000,0.050000,0.050000,0.000000,10.005680,20.437551,149.999980,0.000003,0.000003,0.000003,0.000000
0.545000,0.050000,0.050000,0.000000,10.005680,20.437553,149.999980,0.000003,0.000003,0.000003,0.000000
0.550000,0.050000,0.050000,0.000000,10.005681,20.437554,149.999980,0.000003,0.000003,0.000003,0.000000
0.555000,0.050000,0.050000,0.000000,10.005682,20.437555,149.999981,0.000003,0.000003,0.000003,0.000000
0.560000,0.050000,0.050000,0.000000,10.005682,20.437557,149.999981,0.000003,0.000003,0.000003,0.000000
0.565000,0.050000,0.050000,0.000000,10.005684,20.437558,149.999982,0.000003,0.000003,0.000003,0.000000
0.570000,0.050000,0.050000,0.000000,10.005684,20.437559,149.999982,0.000003,0.000003,0.000003,0.000000
0.575000,0.050000,0.050000,0.000000,10.005684,20.437560,149.999982,0.000003,0.000003,0.000003,0.000000
0.580000,0.050000,0.050000,0.000000,10.005685,20.437562,149.999982,0.000003,0.000003,0.000003,0.000000
0.585000,0.050000,0.050000,0.000000,10.005685,20.437563,149.999983,0.000003,0.000003,0.000003,0.000000
0.590000,0.050000,0.050000,0.000000,10.005686,20.437564,149.999983,0.000003,0.000003,0.000003,0.000000
