t,DeltaT_ref,DeltaT,T_max,T_min,T_avg,flow_pattern,phi_b_kWm3,soc,n_switches,iae_cumulative
82.0,0.000,0.2743,300.4364,300.1620,300.3404,J,51.16,0.8861,0,8.18
83.0,0.000,0.2799,300.4551,300.1752,300.3571,J,51.16,0.8847,0,8.46
84.0,0.000,0.2855,300.4737,300.1883,300.3737,J,51.16,0.8833,0,8.74
85.0,0.000,0.2911,300.4923,300.2013,300.3903,J,51.16,0.8819,0,9.03
86.0,0.000,0.2967,300.5109,300.2142,300.4068,J,51.16,0.8806,0,9.33
87.0,0.000,0.3024,300.5294,300.2270,300.4233,U,51.16,0.8792,1,9.63
88.0,0.000,0.2943,300.5425,300.2483,300.4414,U,51.16,0.8778,1,9.92
89.0,0.000,0.2861,300.5556,300.2695,300.4594,U,51.16,0.8764,1,10.21
90.0,0.000,0.2780,300.5686,300.2906,300.4773,U,51.16,0.8750,1,10.49
91.0,0.000,0.2698,300.5816,300.3117,300.4953,U,51.16,0.8736,1,10.76
92.0,0.000,0.2617,300.5945,300.3328,300.5131,U,51.16,0.8722,1,11.02
93.0,0.000,0.2534,300.6073,300.3539,300.5309,U,51.16,0.8708,1,11.27
94.0,0.000,0.2452,300.6201,300.3749,300.5487,U,51.16,0.8694,1,11.52
95.0,0.000,0.2408,300.6366,300.3959,300.5664,U,51.16,0.8681,1,11.76
96.0,0.000,0.2369,300.6537,300.4168,300.5841,U,51.16,0.8667,1,12.00
97.0,0.000,0.2331,300.6708,300.4377,300.6017,U,51.16,0.8653,1,12.23
98.0,0.000,0.2292,300.6878,300.4585,300.6193,U,51.16,0.8639,1,12.46
99.0,0.000,0.2254,300.7047,300.4794,300.6368,U,51.16,0.8625,1,12.68
100.0,0.000,0.2215,300.7216,300.5002,300.6542,U,51.16,0.8611,1,12.91
101.0,0.000,0.2176,300.7385,300.5209,300.6716,U,51.16,0.8597,1,13.12
102.0,0.000,0.2136,300.7553,300.5416,300.6890,U,51.16,0.8583,1,13.34
103.0,0.000,0.2097,300.7720,300.5623,300.7063,U,51.16,0.8569,1,13.55
104.0,0.000,0.2058,300.7887,300.5830,300.7236,U,51.16,0.8556,1,13.75
105.0,0.000,0.2018,300.8054,300.6036,300.7408,U,51.16,0.8542,1,13.95
106.0,0.000,0.1978,300.8220,300.6241,300.7580,U,51.16,0.8528,1,14.15
107.0,0.000,0.1938,300.8385,300.6447,300.7751,U,51.16,0.8514,1,14.35
108.0,0.000,0.1898,300.8550,300.6652,300.7922,U,51.16,0.8500,1,14.54
109.0,0.000,0.1858,300.8714,300.6856,300.8092,U,51.16,0.8486,1,14.72
110.0,0.000,0.1817,300.8878,300.7061,300.8262,U,51.16,0.8472,1,14.90
111.0,0.000,0.1777,300.9041,300.7265,300.8431,U,51.16,0.8458,1,15.08
112.0,0.000,0.1736,300.9204,300.7468,300.8600,U,51.16,0.8444,1,15.25
113.0,0.000,0.1695,300.9367,300.7672,300.8769,U,51.16,0.8431,1,15.42
114.0,0.000,0.1654,300.9529,300.7874,300.8937,U,51.16,0.8417,1,15.59
115.0,0.000,0.1613,300.9690,300.8077,300.9104,U,51.16,0.8403,1,15.75
116.0,0.000,0.1572,300.9851,300.8279,300.9271,U,51.16,0.8389,1,15.91
117.0,0.000,0.1530,301.0011,300.8481,300.9437,U,51.16,0.8375,1,16.06
118.0,0.000,0.1489,301.0171,300.8682,300.9604,U,51.16,0.8361,1,16.21
119.0,0.000,0.1447,301.0330,300.8883,300.9769,U,51.16,0.8347,1,16.35
120.0,0.000,0.1405,301.0489,300.9084,300.9934,U,62.26,0.8333,1,16.50
121.0,0.000,0.1363,301.0702,300.9338,301.0153,U,62.26,0.8319,1,16.63
122.0,0.000,0.1321,301.0913,300.9592,301.0370,U,62.26,0.8306,1,16.76
123.0,0.000,0.1313,301.1124,300.9812,301.0588,U,62.26,0.8292,1,16.89
124.0,0.000,0.1359,301.1334,300.9975,301.0804,U,62.26,0.8278,1,17.03
125.0,0.000,0.1406,301.1544,301.0138,301.1020,U,62.26,0.8264,1,17.17
126.0,0.000,0.1453,301.1753,301.0300,301.1236,U,62.26,0.8250,1,17.32
127.0,0.000,0.1500,301.1961,301.0462,301.1450,U,62.26,0.8236,1,17.47
128.0,0.000,0.1554,301.2176,301.0622,301.1665,U,62.26,0.8222,1,17.62
129.0,0.000,0.1614,301.2396,301.0782,301.1878,U,62.26,0.8208,1,17.78
130.0,0.000,0.1678,301.2619,301.0941,301.2091,U,62.26,0.8194,1,17.95
131.0,0.000,0.1746,301.2846,301.1099,301.2304,U,62.26,0.8181,1,18.13
132.0,0.000,0.1819,301.3076,301.1257,301.2515,U,62.26,0.8167,1,18.31
133.0,0.000,0.1892,301.3305,301.1414,301.2726,U,62.26,0.8153,1,18.50
134.0,0.000,0.1965,301.3534,301.1570,301.2937,U,62.26,0.8139,1,18.69
135.0,0.000,0.2038,301.3763,301.1725,301.3147,U,62.26,0.8125,1,18.90
136.0,0.000,0.2112,301.3991,301.1880,301.3356,U,62.26,0.8111,1,19.11
137.0,0.000,0.2188,301.4221,301.2033,301.3565,U,62.26,0.8097,1,19.33
138.0,0.000,0.2272,301.4458,301.2186,301.3773,U,62.26,0.8083,1,19.55
139.0,0.000,0.2356,301.4694,301.2339,301.3981,U,62.26,0.8069,1,19.79
140.0,0.000,0.2440,301.4930,301.2490,301.4188,U,62.26,0.8056,1,20.03
141.0,0.000,0.2524,301.5166,301.2641,301.4394,U,62.26,0.8042,1,20.29
142.0,0.000,0.2609,301.5401,301.2791,301.4600,U,62.26,0.8028,1,20.55
143.0,0.000,0.2694,301.5635,301.2941,301.4806,U,62.26,0.8014,1,20.82
144.0,0.000,0.2779,301.5869,301.3090,301.5010,U,62.26,0.8000,1,21.09
145.0,0.000,0.2865,301.6102,301.3238,301.5214,U,62.26,0.7986,1,21.38
146.0,0.000,0.2950,301.6335,301.3385,301.5418,U,62.26,0.7972,1,21.68
147.0,0.000,0.3036,301.6568,301.3532,301.5621,J,62.26,0.7958,2,21.98
148.0,0.000,0.2949,301.6717,301.3769,301.5805,J,62.26,0.7944,2,22.27
149.0,0.000,0.2861,301.6866,301.4005,301.5989,J,62.26,0.7931,2,22.56
