t,DeltaT_ref,DeltaT,T_max,T_min,T_avg,flow_pattern,phi_b_kWm3,soc,n_switches,iae_cumulative
265.0,0.000,0.5445,304.7980,304.2535,304.4887,U,68.23,0.6319,6,69.95
266.0,0.000,0.5501,304.8195,304.2694,304.5032,U,68.25,0.6306,6,70.50
267.0,0.000,0.5557,304.8410,304.2853,304.5177,J,68.26,0.6292,7,71.06
268.0,0.000,0.5366,304.8349,304.2984,304.5289,J,68.28,0.6278,7,71.60
269.0,0.000,0.5175,304.8289,304.3114,304.5400,J,68.29,0.6264,7,72.11
270.0,0.000,0.4986,304.8230,304.3244,304.5511,J,68.31,0.6250,7,72.61
271.0,0.000,0.4797,304.8171,304.3374,304.5622,J,68.32,0.6236,7,73.09
272.0,0.000,0.4609,304.8113,304.3504,304.5733,J,68.34,0.6222,7,73.55
273.0,0.000,0.4422,304.8055,304.3633,304.5844,J,68.35,0.6208,7,73.99
274.0,0.000,0.4236,304.7997,304.3761,304.5954,J,68.37,0.6194,7,74.42
275.0,0.000,0.4050,304.7940,304.3890,304.6064,J,68.38,0.6181,7,74.82
276.0,0.000,0.3954,304.7971,304.4018,304.6174,J,68.40,0.6167,7,75.22
277.0,0.000,0.4022,304.8167,304.4146,304.6284,J,68.41,0.6153,7,75.62
278.0,0.000,0.4090,304.8363,304.4273,304.6393,J,68.43,0.6139,7,76.03
279.0,0.000,0.4159,304.8558,304.4400,304.6502,J,68.44,0.6125,7,76.45
280.0,0.000,0.4227,304.8753,304.4527,304.6611,J,68.45,0.6111,7,76.87
281.0,0.000,0.4295,304.8948,304.4653,304.6720,J,68.47,0.6097,7,77.30
282.0,0.000,0.4364,304.9142,304.4779,304.6829,J,68.48,0.6083,7,77.73
283.0,0.000,0.4432,304.9336,304.4904,304.6937,J,68.50,0.6069,7,78.18
284.0,0.000,0.4501,304.9530,304.5030,304.7045,J,68.51,0.6056,7,78.63
285.0,0.000,0.4569,304.9724,304.5155,304.7153,J,68.53,0.6042,7,79.08
286.0,0.000,0.4637,304.9917,304.5279,304.7260,J,68.54,0.6028,7,79.55
287.0,0.000,0.4706,305.0109,304.5403,304.7368,J,68.56,0.6014,7,80.02
288.0,0.000,0.4774,305.0302,304.5527,304.7475,J,68.57,0.6000,7,80.50
289.0,0.000,0.4843,305.0494,304.5651,304.7582,J,68.58,0.5986,7,80.98
290.0,0.000,0.4911,305.0685,304.5774,304.7689,J,68.60,0.5972,7,81.47
291.0,0.000,0.4980,305.0877,304.5897,304.7795,J,68.61,0.5958,7,81.97
292.0,0.000,0.5048,305.1068,304.6020,304.7902,J,68.63,0.5944,7,82.47
293.0,0.000,0.5117,305.1259,304.6142,304.8008,J,68.64,0.5931,7,82.99
294.0,0.000,0.5185,305.1449,304.6264,304.8114,J,68.66,0.5917,7,83.50
295.0,0.000,0.5254,305.1639,304.6385,304.8220,U,68.67,0.5903,8,84.03
296.0,0.000,0.5094,305.1629,304.6536,304.8355,U,68.68,0.5889,8,84.54
297.0,0.000,0.4934,305.1620,304.6685,304.8491,U,68.70,0.5875,8,85.03
298.0,0.000,0.4775,305.1610,304.6835,304.8626,U,68.71,0.5861,8,85.51
299.0,0.000,0.4617,305.1601,304.6984,304.8761,U,68.73,0.5847,8,85.97
300.0,0.000,0.4459,305.1592,304.7133,304.8896,U,68.74,0.5833,8,86.42
301.0,0.000,0.4301,305.1583,304.7282,304.9030,U,68.76,0.5819,8,86.85
302.0,0.000,0.4144,305.1574,304.7430,304.9164,U,68.77,0.5806,8,87.26
303.0,0.000,0.3988,305.1565,304.7578,304.9298,U,68.78,0.5792,8,87.66
304.0,0.000,0.3864,305.1589,304.7725,304.9432,U,68.80,0.5778,8,88.05
305.0,0.000,0.3789,305.1661,304.7872,304.9565,U,68.81,0.5764,8,88.43
306.0,0.000,0.3714,305.1733,304.8019,304.9698,U,68.83,0.5750,8,88.80
307.0,0.000,0.3640,305.1805,304.8165,304.9831,U,68.84,0.5736,8,89.16
308.0,0.000,0.3565,305.1876,304.8311,304.9963,U,68.85,0.5722,8,89.52
309.0,0.000,0.3490,305.1947,304.8457,305.0096,U,68.87,0.5708,8,89.87
310.0,0.000,0.3416,305.2018,304.8602,305.0228,U,68.88,0.5694,8,90.21
311.0,0.000,0.3342,305.2089,304.8747,305.0359,U,68.89,0.5681,8,90.54
312.0,0.000,0.3268,305.2160,304.8892,305.0491,U,68.91,0.5667,8,90.87
313.0,0.000,0.3193,305.2230,304.9036,305.0622,U,68.92,0.5653,8,91.19
314.0,0.000,0.3120,305.2300,304.9180,305.0753,U,68.94,0.5639,8,91.50
315.0,0.000,0.3046,305.2370,304.9324,305.0884,U,68.95,0.5625,8,91.81
316.0,0.000,0.3048,305.2516,304.9467,305.1014,U,68.96,0.5611,8,92.11
317.0,0.000,0.3098,305.2709,304.9610,305.1145,U,68.98,0.5597,8,92.42
318.0,0.000,0.3148,305.2901,304.9753,305.1274,U,68.99,0.5583,8,92.74
319.0,0.000,0.3198,305.3094,304.9895,305.1404,U,69.00,0.5569,8,93.06
320.0,0.000,0.3248,305.3286,305.0037,305.1534,U,69.02,0.5556,8,93.38
321.0,0.000,0.3299,305.3477,305.0179,305.1663,U,69.03,0.5542,8,93.71
322.0,0.000,0.3349,305.3669,305.0320,305.1792,U,69.04,0.5528,8,94.04
323.0,0.000,0.3399,305.3860,305.0461,305.1920,U,69.06,0.5514,8,94.38
324.0,0.000,0.3449,305.4050,305.0602,305.2049,U,69.07,0.5500,8,94.73
325.0,0.000,0.3499,305.4241,305.0742,305.2177,U,69.08,0.5486,8,95.08
326.0,0.000,0.3549,305.4431,305.0882,305.2305,U,69.10,0.5472,8,95.43
327.0,0.000,0.3599,305.4621,305.1021,305.2432,U,69.11,0.5458,8,95.79
328.0,0.000,0.3650,305.4810,305.1161,305.2560,U,69.12,0.5444,8,96.16
329.0,0.000,0.3700,305.4999,305.1300,305.2687,U,69.13,0.5431,8,96.53
330.0,0.000,0.3805,305.5188,305.1383,305.2814,U,69.15,0.5417,8,96.91
331.0,0.000,0.3999,305.5377,305.1378,305.2940,U,69.16,0.5403,8,97.31
332.0,0.000,0.4192,305.5565,305.1373,305.3067,U,69.17,0.5389,8,97.73
333.0,0.000,0.4384,305.5753,305.1369,305.3193,U,69.19,0.5375,8,98.17
334.0,0.000,0.4577,305.5941,305.1364,305.3319,U,69.20,0.5361,8,98.62
335.0,0.000,0.4768,305.6128,305.1359,305.3444,U,69.21,0.5347,8,99.10
336.0,0.000,0.4960,305.6315,305.1355,305.3570,U,69.22,0.5333,8,99.60
337.0,0.000,0.5151,305.6502,305.1351,305.3695,J,69.24,0.5319,9,100.11
338.0,0.000,0.4965,305.6510,305.1545,305.3782,J,69.25,0.5306,9,100.61
339.0,0.000,0.4780,305.6519,305.1739,305.3868,J,69.26,0.5292,9,101.09
340.0,0.000,0.4595,305.6528,305.1933,305.3955,J,69.27,0.5278,9,101.55
341.0,0.000,0.4410,305.6537,305.2127,305.4041,J,69.28,0.5264,9,101.99
342.0,0.000,0.4226,305.6546,305.2320,305.4128,J,69.30,0.5250,9,102.41
343.0,0.000,0.4042,305.6555,305.2512,305.4214,J,69.31,0.5236,9,102.81
344.0,0.000,0.3859,305.6563,305.2705,305.4300,J,69.32,0.5222,9,103.20
345.0,0.000,0.3675,305.6572,305.2897,305.4385,J,69.33,0.5208,9,103.57
346.0,0.000,0.3492,305.6581,305.3088,305.4471,J,69.34,0.5194,9,103.92
347.0,0.000,0.3310,305.6589,305.3280,305.4557,J,69.36,0.5181,9,104.25
348.0,0.000,0.3127,305.6598,305.3471,305.4642,J,69.37,0.5167,9,104.56
349.0,0.000,0.2974,305.6607,305.3632,305.4727,J,69.38,0.5153,9,104.86
350.0,0.000,0.2882,305.6615,305.3733,305.4812,J,69.39,0.5139,9,105.15
351.0,0.000,0.2790,305.6624,305.3834,305.4897,J,69.40,0.5125,9,105.43
352.0,0.000,0.2698,305.6632,305.3934,305.4982,J,69.41,0.5111,9,105.70
353.0,0.000,0.2607,305.6641,305.4034,305.5067,J,69.43,0.5097,9,105.96
354.0,0.000,0.2549,305.6682,305.4134,305.5151,J,69.44,0.5083,9,106.21
355.0,0.000,0.2642,305.6846,305.4204,305.5235,J,69.45,0.5069,9,106.48
356.0,0.000,0.2891,305.7009,305.4118,305.5320,J,69.46,0.5056,9,106.76
357.0,0.000,0.3139,305.7172,305.4033,305.5404,J,69.47,0.5042,9,107.08
358.0,0.000,0.3386,305.7335,305.3948,305.5488,J,69.48,0.5028,9,107.42
359.0,0.000,0.3633,305.7497,305.3864,305.5571,J,69.49,0.5014,9,107.78
360.0,0.000,0.3878,305.7659,305.3781,305.5655,J,69.50,0.5000,9,108.17
361.0,0.000,0.4122,305.7821,305.3698,305.5738,J,69.52,0.4986,9,108.58
362.0,0.000,0.4366,305.7982,305.3616,305.5822,J,69.53,0.4972,9,109.02
363.0,0.000,0.4608,305.8143,305.3535,305.5905,J,69.54,0.4958,9,109.48
364.0,0.000,0.4850,305.8304,305.3454,305.5988,J,69.55,0.4944,9,109.96
365.0,0.000,0.5090,305.8464,305.3374,305.6071,U,69.56,0.4931,10,110.47
366.0,0.000,0.4927,305.8514,305.3587,305.6188,U,69.57,0.4917,10,110.96
367.0,0.000,0.4763,305.8563,305.3800,305.6306,U,69.58,0.4903,10,111.44
368.0,0.000,0.4599,305.8612,305.4013,305.6423,U,69.59,0.4889,10,111.90
369.0,0.000,0.4436,305.8661,305.4225,305.6540,U,69.60,0.4875,10,112.34
370.0,0.000,0.4273,305.8710,305.4437,305.6657,U,69.62,0.4861,10,112.77
371.0,0.000,0.4110,305.8759,305.4649,305.6773,U,69.63,0.4847,10,113.18
372.0,0.000,0.3947,305.8808,305.4861,305.6889,U,69.64,0.4833,10,113.58
373.0,0.000,0.3784,305.8856,305.5072,305.7005,U,69.65,0.4819,10,113.96
374.0,0.000,0.3622,305.8905,305.5283,305.7121,U,69.66,0.4806,10,114.32
375.0,0.000,0.3460,305.8953,305.5493,305.7237,U,69.67,0.4792,10,114.66
376.0,0.000,0.3298,305.9001,305.5703,305.7352,U,69.68,0.4778,10,114.99
377.0,0.000,0.3136,305.9049,305.5913,305.7467,U,69.69,0.4764,10,115.31
378.0,0.000,0.3026,305.9148,305.6123,305.7582,U,69.70,0.4750,10,115.61
379.0,0.000,0.3049,305.9331,305.6283,305.7697,U,69.71,0.4736,10,115.91
380.0,0.000,0.3257,305.9514,305.6257,305.7811,U,69.72,0.4722,10,116.24
381.0,0.000,0.3465,305.9696,305.6232,305.7925,U,69.73,0.4708,10,116.59
