t,theta_ts,theta_dot_ts,u_ts,theta_base,u_base,w1,w2
0.89000,-5.16591,0.49091,0.00000,3.19035,-15.00000,0.00000,0.00000
0.89500,-5.16304,0.57418,0.00000,3.16999,-15.00000,0.00000,0.00000
0.90000,-5.15976,0.65675,0.00000,3.13482,-15.00000,0.00000,0.00000
0.90500,-5.15607,0.73863,0.00000,3.08500,-15.00000,0.00000,0.00000
0.91000,-5.15197,0.81984,0.00000,3.02070,-15.00000,0.00000,0.00000
0.91500,-5.14747,0.90042,0.00000,2.94211,-15.00000,0.00000,0.00000
0.92000,-5.14256,0.98037,0.00000,2.84940,-15.00000,0.00000,0.00000
0.92500,-5.13727,1.05973,0.00000,2.74276,-15.00000,0.00000,0.00000
0.93000,-5.13157,1.13851,0.00000,2.62238,-15.00000,0.00000,0.00000
0.93500,-5.12549,1.21674,0.00000,2.48845,-15.00000,0.00000,0.00000
0.94000,-5.11902,1.29442,0.00000,2.34115,-15.00000,0.00000,0.00000
0.94500,-5.11216,1.37157,0.00000,2.18068,-15.00000,0.00000,0.00000
0.95000,-5.10492,1.44822,0.00000,2.00721,-15.00000,0.00000,0.00000
0.95500,-5.09730,1.52438,0.00000,1.82092,-15.00000,0.00000,0.00000
0.96000,-5.08930,1.60006,0.00000,1.62197,-15.00000,0.00000,0.00000
0.96500,-5.08092,1.67527,0.00000,1.41050,-15.00000,0.00000,0.00000
0.97000,-5.07217,1.75003,0.00000,1.18663,-15.00000,0.00000,0.00000
0.97500,-5.06305,1.82435,0.00000,0.95046,-15.00000,0.00000,0.00000
0.98000,-5.05356,1.89824,0.00000,0.70204,-15.00000,0.00000,0.00000
0.98500,-5.04370,1.97170,0.00000,0.44142,-15.00000,0.00000,0.00000
0.99000,-5.03347,2.04475,0.00000,0.16863,-15.00000,0.00000,0.00000
0.99500,-5.02289,2.11739,0.00000,-0.11636,-15.00000,0.00000,0.00000
1.00000,-5.01194,2.18962,0.00000,-0.41356,-15.00000,0.00000,0.00000
1.00500,-5.00063,2.26146,0.00000,-0.72298,-15.00000,0.00000,0.00000
1.01000,-4.98897,2.33290,0.00000,-1.01463,15.00000,0.00000,0.00000
1.01500,-4.97695,2.40394,0.00000,-1.28879,15.00000,0.00000,0.00000
1.02000,-4.96457,2.47459,0.00000,-1.54567,15.00000,0.00000,0.00000
1.02500,-4.95185,2.54484,0.00000,-1.78547,15.00000,0.00000,0.00000
