t,v_in,v_ref,v_out,i_L,d,mode,error
0.00190000,10.00000000,8.00000000,3.12573441,1.91873056,0.37298204,0,4.87426559
0.00192000,10.00000000,8.00000000,3.13101400,2.15939715,0.37573198,0,4.86898600
0.00194000,10.00000000,8.00000000,3.13897831,2.40841731,0.37844817,0,4.86102169
0.00196000,10.00000000,8.00000000,3.14969827,2.66456754,0.38112819,0,4.85030173
0.00198000,10.00000000,8.00000000,3.16323066,2.92658903,0.38376365,0,4.83676934
0.00200000,10.00000000,8.00000000,3.17961769,3.19316963,0.38635890,0,4.82038231
0.00202000,10.00000000,8.00000000,3.19888682,3.46300065,0.38891235,0,4.80111318
0.00204000,10.00000000,8.00000000,3.22105076,3.73475903,0.39142259,0,4.77894924
0.00206000,10.00000000,8.00000000,3.24610745,4.00711395,0.39388840,0,4.75389255
0.00208000,10.00000000,8.00000000,3.27404008,4.27873345,0.39630874,0,4.72595992
0.00210000,10.00000000,8.00000000,3.30481720,4.54829106,0.39868936,0,4.69518280
0.00212000,10.00000000,8.00000000,3.33839306,4.81449881,0.40102523,0,4.66160694
0.00214000,10.00000000,8.00000000,3.37470785,5.07606967,0.40330169,0,4.62529215
0.00216000,10.00000000,8.00000000,3.41368770,5.33168476,0.40552898,0,4.58631230
0.00218000,10.00000000,8.00000000,3.45524491,5.58009843,0.40770866,0,4.54475509
0.00220000,10.00000000,8.00000000,3.49927870,5.82010908,0.40984100,0,4.50072130
0.00222000,10.00000000,8.00000000,3.54567578,6.05055893,0.41192649,0,4.45432422
0.00224000,10.00000000,8.00000000,3.59431093,6.27033991,0.41396301,0,4.40568907
0.00226000,10.00000000,8.00000000,3.64504759,6.47838787,0.41593789,0,4.35495241
0.00228000,10.00000000,8.00000000,3.69773819,6.67364481,0.41787820,0,4.30226181
0.00230000,10.00000000,8.00000000,3.75222518,6.85522208,0.41978079,0,4.24777482
0.00232000,10.00000000,8.00000000,3.80834235,7.02228318,0.42164197,0,4.19165765
0.00234000,10.00000000,8.00000000,3.86591540,7.17404505,0.42346205,0,4.13408460
0.00236000,10.00000000,8.00000000,3.92476275,7.30979697,0.42522367,0,4.07523725
0.00238000,10.00000000,8.00000000,3.98469596,7.42883289,0.42694877,0,4.01530404
0.00240000,10.00000000,8.00000000,4.04552071,7.53061104,0.42865025,0,3.95447929
0.00242000,10.00000000,8.00000000,4.10703849,7.61471994,0.43032885,0,3.89296151
0.00244000,10.00000000,8.00000000,4.16904778,7.68083106,0.43197575,0,3.83095222
0.00246000,10.00000000,8.00000000,4.23134480,7.72866170,0.43357516,0,3.76865520
0.00248000,10.00000000,8.00000000,4.29372386,7.75794790,0.43515334,0,3.70627614
0.00250000,10.00000000,8.00000000,4.35597853,7.76861320,0.43671711,0,3.64402147
0.00252000,10.00000000,8.00000000,4.41790327,7.76069089,0.43827602,0,3.58209673
0.00254000,10.00000000,8.00000000,4.47929474,7.73433426,0.43981901,0,3.52070526
0.00256000,10.00000000,8.00000000,4.53995261,7.68973307,0.44133086,0,3.46004739
0.00258000,10.00000000,8.00000000,4.59967987,7.62709576,0.44283077,0,3.40032013
0.00260000,10.00000000,8.00000000,4.65828378,7.54678553,0.44432710,0,3.34171622
0.00262000,10.00000000,8.00000000,4.71557729,7.44927501,0.44583065,0,3.28442271
0.00264000,10.00000000,8.00000000,4.77138027,7.33515350,0.44733061,0,3.22861973
0.00266000,10.00000000,8.00000000,4.82552029,7.20503764,0.44882926,0,3.17447971
0.00268000,10.00000000,8.00000000,4.87783312,7.05962048,0.45031418,0,3.12216688
0.00270000,10.00000000,8.00000000,4.92816320,6.89960939,0.45180337,0,3.07183680
