t,v_in,v_ref,v_out,i_L,d,mode,error
0.03352000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03354000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03356000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03358000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03360000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03362000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03364000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03366000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03368000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03370000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03372000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03374000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03376000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03378000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03380000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03382000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03384000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03386000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03388000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03390000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03392000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03394000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03396000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03398000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03400000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
0.03402000,10.00000000,8.00000000,8.00000000,4.00000000,0.80000000,0,0.00000000
