t,y,error,u
2.380000,1.032996,-0.032270,0.948730
2.390000,1.033692,-0.032996,0.948221
2.400000,1.034357,-0.033692,0.947740
2.410000,1.034992,-0.034357,0.947287
2.420000,1.035598,-0.034992,0.946861
2.430000,1.036174,-0.035598,0.946463
2.440000,1.036721,-0.036174,0.946092
2.450000,1.037240,-0.036721,0.945748
2.460000,1.037730,-0.037240,0.945431
2.470000,1.038192,-0.037730,0.945140
2.480000,1.038627,-0.038192,0.944876
2.490000,1.039034,-0.038627,0.944638
2.500000,1.039414,-0.039034,0.944425
2.510000,1.039767,-0.039414,0.944239
2.520000,1.040094,-0.039767,0.944077
2.530000,1.040395,-0.040094,0.943941
2.540000,1.040671,-0.040395,0.943830
2.550000,1.040921,-0.040671,0.943744
2.560000,1.041146,-0.040921,0.943682
2.570000,1.041346,-0.041146,0.943644
2.580000,1.041522,-0.041346,0.943631
2.590000,1.041674,-0.041522,0.943641
2.600000,1.041803,-0.041674,0.943675
2.610000,1.041908,-0.041803,0.943732
2.620000,1.041990,-0.041908,0.943813
2.630000,1.042050,-0.041990,0.943916
2.640000,1.042087,-0.042050,0.944041
2.650000,1.042102,-0.042087,0.944189
2.660000,1.042096,-0.042102,0.944359
2.670000,1.042068,-0.042096,0.944551
2.680000,1.042020,-0.042068,0.944765
2.690000,1.041950,-0.042020,0.944999
2.700000,1.041861,-0.041950,0.945255
2.710000,1.041751,-0.041861,0.945532
2.720000,1.041622,-0.041751,0.945829
2.730000,1.041474,-0.041622,0.946146
2.740000,1.041307,-0.041474,0.946484
2.750000,1.041121,-0.041307,0.946841
2.760000,1.040916,-0.041121,0.947218
2.770000,1.040694,-0.040916,0.947614
2.780000,1.040454,-0.040694,0.948028
2.790000,1.040197,-0.040454,0.948462
2.800000,1.039923,-0.040197,0.948914
2.810000,1.039632,-0.039923,0.949384
2.820000,1.039325,-0.039632,0.949872
2.830000,1.039002,-0.039325,0.950378
2.840000,1.038663,-0.039002,0.950901
2.850000,1.038309,-0.038663,0.951441
2.860000,1.037940,-0.038309,0.951998
2.870000,1.037556,-0.037940,0.952572
2.880000,1.037158,-0.037556,0.953162
2.890000,1.036745,-0.037158,0.953768
2.900000,1.036319,-0.036745,0.954390
2.910000,1.035879,-0.036319,0.955027
2.920000,1.035426,-0.035879,0.955679
2.930000,1.034960,-0.035426,0.956347
2.940000,1.034482,-0.034960,0.957029
2.950000,1.033992,-0.034482,0.957726
2.960000,1.033489,-0.033992,0.958436
2.970000,1.032975,-0.033489,0.959161
2.980000,1.032449,-0.032975,0.959899
2.990000,1.031913,-0.032449,0.960651
3.000000,1.031365,-0.031913,0.961416
3.010000,1.030808,-0.031365,0.962193
3.020000,1.030240,-0.030808,0.962984
3.030000,1.029662,-0.030240,0.963786
3.040000,1.029074,-0.029662,0.964601
3.050000,1.028478,-0.029074,0.965427
3.060000,1.027872,-0.028478,0.966265
3.070000,1.027257,-0.027872,0.967114
3.080000,1.026635,-0.027257,0.967974
3.090000,1.026003,-0.026635,0.968845
3.100000,1.025364,-0.026003,0.969726
3.110000,1.024718,-0.025364,0.970618
3.120000,1.024064,-0.024718,0.971520
3.130000,1.023403,-0.024064,0.972431
3.140000,1.022735,-0.023403,0.973352
3.150000,1.022060,-0.022735,0.974282
3.160000,1.021380,-0.022060,0.975221
3.170000,1.020693,-0.021380,0.976168
3.180000,1.020000,-0.020693,0.977125
3.190000,1.019302,-0.020000,0.978089
3.200000,1.018599,-0.019302,0.979061
3.210000,1.017890,-0.018599,0.980041
3.220000,1.017177,-0.017890,0.981029
3.230000,1.016460,-0.017177,0.982024
3.240000,1.015738,-0.016460,0.983026
3.250000,1.015012,-0.015738,0.984034
3.260000,1.014282,-0.015012,0.985049
3.270000,1.013549,-0.014282,0.986071
3.280000,1.012812,-0.013549,0.987098
3.290000,1.012072,-0.012812,0.988131
3.300000,1.011330,-0.012072,0.989170
3.310000,1.010584,-0.011330,0.990214
3.320000,1.009837,-0.010584,0.991263
3.330000,1.009087,-0.009837,0.992318
3.340000,1.008335,-0.009087,0.993376
3.350000,1.007581,-0.008335,0.994440
3.360000,1.006826,-0.007581,0.995507
3.370000,1.006070,-0.006826,0.996579
3.380000,1.005312,-0.006070,0.997654
3.390000,1.004554,-0.005312,0.998733
3.400000,1.003794,-0.004554,0.999815
3.410000,1.003035,-0.003794,1.000900
3.420000,1.002275,-0.003035,1.001989
3.430000,1.001514,-0.002275,1.003079
3.440000,1.000754,-0.001514,1.004173
3.450000,0.999994,-0.000754,1.005269
3.460000,0.999235,0.000006,1.006366
3.470000,0.998476,0.000765,1.007466
3.480000,0.997718,0.001524,1.008568
3.490000,0.996961,0.002282,1.009670
3.500000,0.996205,0.003039,1.010775
3.510000,0.995451,0.003795,1.011880
3.520000,0.994698,0.004549,1.012986
3.530000,0.993947,0.005302,1.014093
3.540000,0.993197,0.006053,1.015200
3.550000,0.992450,0.006803,1.016308
3.560000,0.991705,0.007550,1.017416
3.570000,0.990962,0.008295,1.018524
3.580000,0.990221,0.009038,1.019631
3.590000,0.989484,0.009779,1.020739
3.600000,0.988749,0.010516,1.021845
3.610000,0.988017,0.011251,1.022951
3.620000,0.987288,0.011983,1.024056
3.630000,0.986562,0.012712,1.025160
3.640000,0.985840,0.013438,1.026263
3.650000,0.985121,0.014160,1.027364
3.660000,0.984406,0.014879,1.028464
3.670000,0.983695,0.015594,1.029562
3.680000,0.982988,0.016305,1.030658
3.690000,0.982284,0.017012,1.031752
3.700000,0.981585,0.017716,1.032843
3.710000,0.980891,0.018415,1.033933
3.720000,0.980200,0.019109,1.035020
3.730000,0.979514,0.019800,1.036104
3.740000,0.978833,0.020486,1.037185
3.750000,0.978157,0.021167,1.038264
3.760000,0.977485,0.021843,1.039339
3.770000,0.976819,0.022515,1.040411
3.780000,0.976157,0.023181,1.041480
3.790000,0.975501,0.023843,1.042545
3.800000,0.974850,0.024499,1.043606
3.810000,0.974204,0.025150,1.044664
3.820000,0.973564,0.025796,1.045718
3.830000,0.972929,0.026436,1.046767
3.840000,0.972301,0.027071,1.047813
3.850000,0.971677,0.027699,1.048854
3.860000,0.971060,0.028323,1.049891
3.870000,0.970449,0.028940,1.050923
3.880000,0.969844,0.029551,1.051951
3.890000,0.969244,0.030156,1.052974
3.900000,0.968651,0.030756,1.053992
3.910000,0.968065,0.031349,1.055005
3.920000,0.967484,0.031935,1.056013
3.930000,0.966910,0.032516,1.057015
3.940000,0.966342,0.033090,1.058013
3.950000,0.965781,0.033658,1.059005
3.960000,0.965227,0.034219,1.059991
3.970000,0.964679,0.034773,1.060972
3.980000,0.964138,0.035321,1.061948
3.990000,0.963603,0.035862,1.062917
4.000000,0.963076,0.036397,1.063881
4.010000,0.962555,0.036924,1.064838
4.020000,0.962041,0.037445,1.065790
4.030000,0.961534,0.037959,1.066735
4.040000,0.961034,0.038466,1.067674
4.050000,0.960542,0.038966,1.068607
4.060000,0.960056,0.039458,1.069533
4.070000,0.959577,0.039944,1.070453
4.080000,0.959106,0.040423,1.071367
4.090000,0.958642,0.040894,1.072274
4.100000,0.958185,0.041358,1.073174
4.110000,0.957736,0.041815,1.074067
4.120000,0.957293,0.042264,1.074954
4.130000,0.956858,0.042707,1.075833
4.140000,0.956431,0.043142,1.076706
4.150000,0.956011,0.043569,1.077572
4.160000,0.955598,0.043989,1.078431
4.170000,0.955193,0.044402,1.079282
4.180000,0.954795,0.044807,1.080127
4.190000,0.954404,0.045205,1.080964
4.200000,0.954021,0.045596,1.081794
4.210000,0.953646,0.045979,1.082616
4.220000,0.953278,0.046354,1.083431
4.230000,0.952918,0.046722,1.084239
4.240000,0.952565,0.047082,1.085039
4.250000,0.952220,0.047435,1.085832
4.260000,0.951882,0.047780,1.086617
4.270000,0.951552,0.048118,1.087395
4.280000,0.951229,0.048448,1.088165
4.290000,0.950914,0.048771,1.088927
4.300000,0.950607,0.049086,1.089682
4.310000,0.950307,0.049393,1.090429
4.320000,0.950014,0.049693,1.091168
4.330000,0.949729,0.049986,1.091900
4.340000,0.949452,0.050271,1.092623
4.350000,0.949182,0.050548,1.093339
4.360000,0.948920,0.050818,1.094047
4.370000,0.948665,0.051080,1.094747
4.380000,0.948418,0.051335,1.095439
4.390000,0.948178,0.051582,1.096123
4.400000,0.947945,0.051822,1.096800
4.410000,0.947720,0.052055,1.097468
4.420000,0.947503,0.052280,1.098128
4.430000,0.947293,0.052497,1.098781
4.440000,0.947090,0.052707,1.099425
4.450000,0.946894,0.052910,1.100062
4.460000,0.946706,0.053106,1.100690
4.470000,0.946525,0.053294,1.101311
4.480000,0.946352,0.053475,1.101923
4.490000,0.946186,0.053648,1.102527
4.500000,0.946027,0.053814,1.103124
4.510000,0.945875,0.053973,1.103712
4.520000,0.945730,0.054125,1.104293
4.530000,0.945592,0.054270,1.104865
4.540000,0.945462,0.054408,1.105430
4.550000,0.945338,0.054538,1.105986
4.560000,0.945222,0.054662,1.106534
4.570000,0.945113,0.054778,1.107075
4.580000,0.945010,0.054887,1.107607
4.590000,0.944915,0.054990,1.108132
4.600000,0.944826,0.055085,1.108648
4.610000,0.944744,0.055174,1.109157
4.620000,0.944669,0.055256,1.109658
4.630000,0.944601,0.055331,1.110151
4.640000,0.944539,0.055399,1.110636
4.650000,0.944484,0.055461,1.111113
4.660000,0.944436,0.055516,1.111582
4.670000,0.944394,0.055564,1.112043
4.680000,0.944359,0.055606,1.112497
4.690000,0.944330,0.055641,1.112943
4.700000,0.944308,0.055670,1.113381
4.710000,0.944292,0.055692,1.113811
4.720000,0.944283,0.055708,1.114234
4.730000,0.944279,0.055717,1.114649
4.740000,0.944282,0.055721,1.115056
4.750000,0.944291,0.055718,1.115456
4.760000,0.944307,0.055709,1.115848
4.770000,0.944328,0.055693,1.116233
4.780000,0.944355,0.055672,1.116610
4.790000,0.944388,0.055645,1.116979
4.800000,0.944428,0.055612,1.117342
4.810000,0.944473,0.055572,1.117696
4.820000,0.944524,0.055527,1.118043
4.830000,0.944580,0.055476,1.118383
4.840000,0.944642,0.055420,1.118716
4.850000,0.944710,0.055358,1.119041
4.860000,0.944784,0.055290,1.119360
4.870000,0.944863,0.055216,1.119671
4.880000,0.944947,0.055137,1.119974
4.890000,0.945037,0.055053,1.120271
4.900000,0.945132,0.054963,1.120561
4.910000,0.945232,0.054868,1.120843
4.920000,0.945338,0.054768,1.121119
4.930000,0.945449,0.054662,1.121388
4.940000,0.945565,0.054551,1.121649
4.950000,0.945686,0.054435,1.121904
4.960000,0.945811,0.054314,1.122152
4.970000,0.945942,0.054189,1.122394
4.980000,0.946078,0.054058,1.122629
4.990000,0.946218,0.053922,1.122857
