Time,y1,y2,y3,u1,u2,u3,du3,theta
138,152.698,140.529,1.14815,0.59589,0.89447,0.0384162,-0.0613534,0.0433276
139,152.758,140.589,1.18023,0.59589,0.89447,0,-0.0384162,-0.0288982
140,152.827,140.65,1.2155,0.59589,0.89447,0,0,-0.111304
141,152.902,140.712,1.2529,0.59589,0.89447,0,0,-0.203082
142,152.977,140.775,1.29132,0.59589,0.89447,0,0,-0.303221
143,153.051,140.84,1.33079,0.59589,0.89447,0,0,-0.410504
144,153.125,140.906,1.37134,0.59589,0.89447,0,0,-0.523521
145,153.199,140.973,1.41302,0.59589,0.89447,0,0,-0.640686
146,153.273,141.041,1.45587,0.59589,0.89447,0,0,-0.760246
147,153.346,141.11,1.49991,0.59589,0.89447,0,0,-0.880309
148,153.42,141.18,1.5452,0.59589,0.89447,0,0,-0.998863
149,153.492,141.25,1.59178,0.59589,0.89447,0,0,-1.11381
150,153.565,141.321,1.6397,0.59589,0.89447,0,0,-1.22298
151,153.637,141.392,1.689,0.59589,0.89447,0,0,-1.32418
152,153.71,141.464,1.73973,0.59589,0.89447,0,0,-1.41525
153,153.782,141.536,1.79196,0.59589,0.89447,0,0,-1.49404
154,153.853,141.608,1.84573,0.59589,0.89447,0,0,-1.55851
155,153.925,141.681,1.9011,0.59589,0.89447,0,0,-1.60672
156,153.996,141.754,1.95814,0.59589,0.89447,0,0,-1.63693
157,154.067,141.827,2.01692,0.59589,0.89447,0,0,-1.64757
158,154.137,141.9,2.07749,0.59589,0.89447,0,0,-1.63732
159,154.208,141.973,2.13994,0.59589,0.89447,0,0,-1.60515
160,154.278,142.046,2.20434,0.59589,0.89447,0,0,-1.55034
161,154.348,142.119,2.27077,0.59589,0.89447,0,0,-1.47248
162,154.418,142.192,2.33932,0.59589,0.89447,0,0,-1.37156
163,154.487,142.265,2.41007,0.59589,0.89447,0,0,-1.24794
164,154.557,142.338,2.48313,0.59589,0.89447,0,0,-1.10241
165,154.626,142.411,2.55859,0.59589,0.89447,0,0,-0.936161
166,154.695,142.483,2.63655,0.59589,0.89447,0,0,-0.750798
167,154.763,142.556,2.71715,0.59589,0.89447,0,0,-0.54836
168,154.831,142.629,2.80048,0.59589,0.89447,0,0,-0.331295
169,154.9,142.701,2.88669,0.59589,0.89447,0,0,-0.102447
170,154.967,142.773,2.9759,0.59589,0.89447,0.137375,0.137375,0.134966
171,155.035,142.845,3.06635,0.59589,0.89447,0.379214,0.241839,0.377373
172,155.082,142.917,3.1428,0.59589,0.89447,0.622082,0.242868,0.620838
173,155.092,142.987,3.19318,0.59589,0.89447,0.861812,0.23973,0.861185
174,155.066,143.051,3.2158,0.59589,0.89447,1,0.138188,1.09421
175,155.004,143.105,3.2116,0.59589,0.89447,1,0,1.31591
176,154.922,143.148,3.19299,0.59589,0.89447,1,0,1.52265
177,154.839,143.178,3.17445,0.59589,0.89447,1,0,1.7112
178,154.758,143.196,3.15597,0.59589,0.89447,1,0,1.87876
179,154.676,143.204,3.13755,0.59589,0.89447,1,0,2.023
180,154.595,143.203,3.1192,0.59589,0.89447,1,0,2.14211
181,154.513,143.193,3.10091,0.59589,0.89447,1,0,2.23472
182,154.433,143.176,3.08268,0.59589,0.89447,1,0,2.30002
183,154.352,143.152,3.06452,0.59589,0.89447,1,0,2.33764
184,154.272,143.122,3.04642,0.59589,0.89447,1,0,2.34771
185,154.192,143.087,3.02839,0.59589,0.89447,1,0,2.33081
186,154.112,143.047,3.01042,0.59589,0.89447,1,0,2.28794
187,154.033,143.003,2.99251,0.59589,0.89447,1,0,2.22048
188,153.953,142.954,2.97467,0.59589,0.89447,1,0,2.13018
189,153.875,142.903,2.95689,0.59589,0.89447,1,0,2.01907
190,153.796,142.848,2.93918,0.59589,0.89447,1,0,1.88946
191,153.718,142.791,2.92153,0.59589,0.89447,1,0,1.74384
192,153.639,142.731,2.90395,0.59589,0.89447,1,0,1.58488
193,153.562,142.669,2.88644,0.59589,0.89447,1,0,1.41534
194,153.484,142.605,2.86898,0.59589,0.89447,1,0,1.23805
195,153.407,142.54,2.8516,0.59589,0.89447,1,0,1.05583
196,153.33,142.473,2.83428,0.59589,0.89447,0.869615,-0.130385,0.871456
197,153.253,142.404,2.81884,0.59589,0.89447,0.686375,-0.18324,0.687619
198,153.196,142.335,2.81772,0.59589,0.89447,0.506229,-0.180147,0.506855
199,153.167,142.266,2.83562,0.59589,0.89447,0.331598,-0.174631,0.331598
