Time,dx1,dx2,dx3,u1,u2,u3
190,-7.19638e-06,1.12451e-06,0.371973,0.607933,0.89447,0.860565
191,-9.50962e-06,1.22139e-06,0.491864,0.607637,0.89447,0.858785
192,-1.17659e-05,1.31449e-06,0.608802,0.607325,0.89447,0.856917
193,-1.39623e-05,1.40372e-06,0.722642,0.607,0.89447,0.854967
194,-1.60963e-05,1.48901e-06,0.833248,0.606662,0.89447,0.852939
195,-1.81653e-05,1.57027e-06,0.940488,0.606312,0.89447,0.850837
196,-2.0167e-05,1.64745e-06,1.04424,0.605951,0.89447,0.848668
197,-2.20993e-05,1.72047e-06,1.1444,0.605579,0.89447,0.846434
198,-2.39601e-05,1.78931e-06,1.24085,0.605197,0.89447,0.844143
199,-2.57475e-05,1.8539e-06,1.3335,0.604806,0.89447,0.841797
200,-2.74598e-05,1.91422e-06,1.42226,0.604407,0.89447,0.839403
201,-2.90954e-05,1.97025e-06,1.50705,0.604001,0.89447,0.836965
202,-3.0653e-05,2.02196e-06,1.58779,0.603588,0.89447,0.834488
203,-3.21313e-05,2.06934e-06,1.66442,0.60317,0.89447,0.831977
204,-3.35292e-05,2.11239e-06,1.73689,0.602746,0.89447,0.829437
205,-3.48458e-05,2.15111e-06,1.80515,0.602319,0.89447,0.826872
206,-3.60802e-05,2.18552e-06,1.86915,0.601888,0.89447,0.824288
207,-3.72319e-05,2.21563e-06,1.92886,0.601455,0.89447,0.821688
208,-3.83004e-05,2.24147e-06,1.98426,0.60102,0.89447,0.819078
209,-3.92854e-05,2.26307e-06,2.03534,0.600584,0.89447,0.816463
210,-4.01866e-05,2.28047e-06,2.08207,0.600148,0.89447,0.813846
211,-4.10041e-05,2.29371e-06,2.12446,0.599713,0.89447,0.811233
212,-4.17379e-05,2.30285e-06,2.16252,0.599279,0.89447,0.808627
213,-4.23883e-05,2.30794e-06,2.19626,0.598846,0.89447,0.806033
214,-4.29556e-05,2.30904e-06,2.22569,0.598417,0.89447,0.803455
215,-4.34404e-05,2.30623e-06,2.25084,0.597991,0.89447,0.800897
216,-4.38434e-05,2.29958e-06,2.27176,0.597568,0.89447,0.798363
217,-4.41652e-05,2.28917e-06,2.28846,0.597151,0.89447,0.795856
218,-4.44068e-05,2.27508e-06,2.30102,0.596738,0.89447,0.793382
219,-4.45692e-05,2.2574e-06,2.30946,0.596332,0.89447,0.790943
220,-4.46535e-05,2.23622e-06,2.31386,0.595932,0.89447,0.788542
221,-4.4661e-05,2.21164e-06,2.31428,0.595539,0.89447,0.786183
222,-4.4593e-05,2.18377e-06,2.31078,0.595153,0.89447,0.78387
223,-4.44509e-05,2.15271e-06,2.30345,0.594776,0.89447,0.781605
224,-4.42364e-05,2.11856e-06,2.29236,0.594407,0.89447,0.779392
225,-4.3951e-05,2.08145e-06,2.2776,0.594047,0.89447,0.777233
226,-4.35965e-05,2.04148e-06,2.25926,0.593697,0.89447,0.775131
227,-4.31747e-05,1.99877e-06,2.23743,0.593357,0.89447,0.773088
228,-4.26876e-05,1.95345e-06,2.21221,0.593027,0.89447,0.771107
229,-4.2137e-05,1.90563e-06,2.18371,0.592707,0.89447,0.76919
230,-4.15251e-05,1.85544e-06,2.15203,0.592399,0.89447,0.767339
231,-4.08539e-05,1.80302e-06,2.11727,0.592102,0.89447,0.765556
232,-4.01258e-05,1.74847e-06,2.07956,0.591816,0.89447,0.763843
233,-3.93428e-05,1.69195e-06,2.03901,0.591543,0.89447,0.762202
234,-3.85072e-05,1.63357e-06,1.99573,0.591282,0.89447,0.760634
235,-3.76215e-05,1.57346e-06,1.94986,0.591033,0.89447,0.75914
236,-3.6688e-05,1.51177e-06,1.9015,0.590796,0.89447,0.757722
237,-3.57092e-05,1.44862e-06,1.8508,0.590573,0.89447,0.756381
238,-3.46874e-05,1.38414e-06,1.79786,0.590362,0.89447,0.755117
239,-3.36251e-05,1.31847e-06,1.74284,0.590165,0.89447,0.753932
240,-3.2525e-05,1.25173e-06,1.68584,0.58998,0.89447,0.752825
241,-3.13894e-05,1.18407e-06,1.62701,0.589809,0.89447,0.751798
242,-3.0221e-05,1.1156e-06,1.56648,0.589651,0.89447,0.750851
243,-2.90223e-05,1.04647e-06,1.50438,0.589507,0.89447,0.749984
244,-2.77958e-05,9.76794e-07,1.44083,0.589376,0.89447,0.749197
245,-2.65442e-05,9.06704e-07,1.37598,0.589258,0.89447,0.748489
246,-2.52699e-05,8.36325e-07,1.30996,0.589153,0.89447,0.747861
247,-2.39755e-05,7.6578e-07,1.2429,0.589062,0.89447,0.747313
248,-2.26636e-05,6.95193e-07,1.17492,0.588984,0.89447,0.746844
249,-2.13367e-05,6.24683e-07,1.10617,0.588918,0.89447,0.746452
250,-1.99973e-05,5.54367e-07,1.03677,0.588866,0.89447,0.746138
251,-1.86479e-05,4.84361e-07,0.966848,0.588827,0.89447,0.745901
252,-1.72909e-05,4.14777e-07,0.896532,0.5888,0.89447,0.74574
253,-1.59288e-05,3.45726e-07,0.82595,0.588785,0.89447,0.745653
254,-1.45639e-05,2.77314e-07,0.755223,0.588783,0.89447,0.74564
255,-1.31986e-05,2.09645e-07,0.684474,0.588793,0.89447,0.745699
256,-1.18351e-05,1.42821e-07,0.613823,0.588815,0.89447,0.745829
257,-1.04759e-05,7.69387e-08,0.543387,0.588848,0.89447,0.746028
258,-9.12307e-06,1.20934e-08,0.473282,0.588892,0.89447,0.746295
259,-7.77879e-06,-5.1624e-08,0.403619,0.588948,0.89447,0.746628
260,-6.44519e-06,-1.14126e-07,0.334509,0.589014,0.89447,0.747025
261,-5.12432e-06,-1.75329e-07,0.266059,0.589091,0.89447,0.747485
262,-3.8182e-06,-2.35152e-07,0.198371,0.589177,0.89447,0.748006
263,-2.52876e-06,-2.93519e-07,0.131547,0.589274,0.89447,0.748586
264,-1.25789e-06,-3.50358e-07,0.0656846,0.58938,0.89447,0.749222
265,-7.39668e-09,-4.05599e-07,0.000877412,0.589495,0.89447,0.749913
266,1.22096e-06,-4.59177e-07,-0.0627837,0.589619,0.89447,0.750656
267,2.42552e-06,-5.11032e-07,-0.125212,0.589751,0.89447,0.75145
268,3.60465e-06,-5.61106e-07,-0.186323,0.589892,0.89447,0.752292
269,4.75681e-06,-6.09347e-07,-0.246038,0.590039,0.89447,0.753179
270,5.88055e-06,-6.55705e-07,-0.30428,0.590195,0.89447,0.754111
271,6.97447e-06,-7.00137e-07,-0.360977,0.590357,0.89447,0.755083
272,8.03726e-06,-7.426e-07,-0.416062,0.590525,0.89447,0.756094
273,9.06766e-06,-7.83058e-07,-0.469469,0.5907,0.89447,0.757142
274,1.00645e-05,-8.21478e-07,-0.521138,0.59088,0.89447,0.758224
275,1.10267e-05,-8.57833e-07,-0.571013,0.591065,0.89447,0.759337
276,1.19533e-05,-8.92096e-07,-0.619042,0.591256,0.89447,0.760479
277,1.28433e-05,-9.24247e-07,-0.665175,0.591451,0.89447,0.761648
278,1.36959e-05,-9.54269e-07,-0.709369,0.591649,0.89447,0.762841
279,1.45103e-05,-9.82149e-07,-0.751584,0.591852,0.89447,0.764057
280,1.52857e-05,-1.00788e-06,-0.791783,0.592058,0.89447,0.765291
281,1.60217e-05,-1.03145e-06,-0.829934,0.592266,0.89447,0.766542
282,1.67175e-05,-1.05287e-06,-0.866009,0.592477,0.89447,0.767808
283,1.73729e-05,-1.07213e-06,-0.899985,0.59269,0.89447,0.769087
284,1.79873e-05,-1.08924e-06,-0.93184,0.592905,0.89447,0.770374
285,1.85605e-05,-1.10421e-06,-0.961558,0.593121,0.89447,0.77167
286,1.90922e-05,-1.11705e-06,-0.989128,0.593337,0.89447,0.77297
287,1.95823e-05,-1.12777e-06,-1.01454,0.593554,0.89447,0.774273
288,2.00307e-05,-1.13641e-06,-1.03779,0.593772,0.89447,0.775577
289,2.04373e-05,-1.14298e-06,-1.05888,0.593989,0.89447,0.776879
290,2.08023e-05,-1.1475e-06,-1.07781,0.594205,0.89447,0.778178
291,2.11257e-05,-1.15e-06,-1.09458,0.59442,0.89447,0.77947
