step,y1,y2,u1,u2
3.08,1.03102,1.03102,4.86505,4.86505
3.09,1.04875,1.04875,4.81242,4.81242
3.1,1.06645,1.06645,4.75899,4.75899
3.11,1.08412,1.08412,4.7048,4.7048
3.12,1.10174,1.10174,4.64989,4.64989
3.13,1.1193,1.1193,4.59429,4.59429
3.14,1.13679,1.13679,4.53804,4.53804
3.15,1.15419,1.15419,4.48119,4.48119
3.16,1.17149,1.17149,4.42376,4.42376
3.17,1.18868,1.18868,4.36581,4.36581
3.18,1.20575,1.20575,4.30737,4.30737
3.19,1.22269,1.22269,4.24848,4.24848
3.2,1.23949,1.23949,4.18919,4.18919
3.21,1.25612,1.25612,4.12953,4.12953
3.22,1.27259,1.27259,4.06955,4.06955
3.23,1.28887,1.28887,4.00929,4.00929
3.24,1.30496,1.30496,3.9488,3.9488
3.25,1.32085,1.32085,3.88811,3.88811
3.26,1.33653,1.33653,3.82727,3.82727
3.27,1.35197,1.35197,3.76632,3.76632
3.28,1.36718,1.36718,3.70531,3.70531
3.29,1.38214,1.38214,3.64428,3.64428
3.3,1.39684,1.39684,3.58328,3.58328
3.31,1.41127,1.41127,3.52234,3.52234
3.32,1.42542,1.42542,3.46151,3.46151
3.33,1.43928,1.43928,3.40084,3.40084
3.34,1.45284,1.45284,3.34036,3.34036
3.35,1.46608,1.46608,3.28013,3.28013
3.36,1.47901,1.47901,3.22018,3.22018
3.37,1.4916,1.4916,3.16057,3.16057
3.38,1.50386,1.50386,3.10132,3.10132
3.39,1.51576,1.51576,3.0425,3.0425
3.4,1.52731,1.52731,2.98413,2.98413
3.41,1.5385,1.5385,2.92626,2.92626
3.42,1.5493,1.5493,2.86894,2.86894
3.43,1.55973,1.55973,2.8122,2.8122
3.44,1.56976,1.56976,2.75609,2.75609
3.45,1.5794,1.5794,2.70066,2.70066
3.46,1.58862,1.58862,2.64593,2.64593
3.47,1.59744,1.59744,2.59195,2.59195
3.48,1.60584,1.60584,2.53877,2.53877
3.49,1.6138,1.6138,2.48642,2.48642
3.5,1.62134,1.62134,2.43494,2.43494
3.51,1.62844,1.62844,2.38436,2.38436
3.52,1.63509,1.63509,2.33474,2.33474
3.53,1.64129,1.64129,2.2861,2.2861
3.54,1.64704,1.64704,2.23848,2.23848
3.55,1.65232,1.65232,2.19192,2.19192
3.56,1.65714,1.65714,2.14646,2.14646
3.57,1.6615,1.6615,2.10212,2.10212
3.58,1.66538,1.66538,2.05895,2.05895
3.59,1.66878,1.66878,2.01697,2.01697
3.6,1.67171,1.67171,1.97623,1.97623
3.61,1.67415,1.67415,1.93674,1.93674
3.62,1.6761,1.6761,1.89855,1.89855
3.63,1.67757,1.67757,1.86167,1.86167
3.64,1.67855,1.67855,1.82615,1.82615
3.65,1.67904,1.67904,1.79201,1.79201
3.66,1.67904,1.67904,1.75928,1.75928
3.67,1.67855,1.67855,1.72798,1.72798
3.68,1.67756,1.67756,1.69814,1.69814
3.69,1.67608,1.67608,1.66978,1.66978
3.7,1.6741,1.6741,1.64294,1.64294
3.71,1.67163,1.67163,1.61762,1.61762
