t,y,error,u
2.950000,0.795537,0.204427,0.884405
2.960000,0.795500,0.204463,0.884521
2.970000,0.795464,0.204500,0.884633
2.980000,0.795429,0.204536,0.884740
2.990000,0.795394,0.204571,0.884843
3.000000,0.795359,0.204606,0.884941
3.010000,0.795325,0.204641,0.885035
3.020000,0.795291,0.204675,0.885125
3.030000,0.795257,0.204709,0.885210
3.040000,0.795224,0.204743,0.885291
3.050000,0.795191,0.204776,0.885367
3.060000,0.795159,0.204809,0.885440
3.070000,0.795127,0.204841,0.885508
3.080000,0.795096,0.204873,0.885572
3.090000,0.795065,0.204904,0.885632
3.100000,0.795035,0.204935,0.885687
3.110000,0.795005,0.204965,0.885739
3.120000,0.794975,0.204995,0.885787
3.130000,0.794946,0.205025,0.885832
3.140000,0.794918,0.205054,0.885872
3.150000,0.794890,0.205082,0.885909
3.160000,0.794862,0.205110,0.885943
3.170000,0.794835,0.205138,0.885973
3.180000,0.794808,0.205165,0.886000
3.190000,0.794782,0.205192,0.886023
3.200000,0.794756,0.205218,0.886044
3.210000,0.794730,0.205244,0.886061
3.220000,0.794705,0.205270,0.886076
3.230000,0.794681,0.205295,0.886087
3.240000,0.794657,0.205319,0.886096
3.250000,0.794633,0.205343,0.886103
3.260000,0.794610,0.205367,0.886107
3.270000,0.794588,0.205390,0.886108
3.280000,0.794565,0.205412,0.886107
3.290000,0.794543,0.205435,0.886104
3.300000,0.794522,0.205457,0.886099
3.310000,0.794501,0.205478,0.886091
3.320000,0.794480,0.205499,0.886082
3.330000,0.794460,0.205520,0.886071
3.340000,0.794440,0.205540,0.886058
3.350000,0.794421,0.205560,0.886044
3.360000,0.794402,0.205579,0.886028
3.370000,0.794384,0.205598,0.886010
3.380000,0.794365,0.205616,0.885991
3.390000,0.794348,0.205635,0.885971
3.400000,0.794330,0.205652,0.885950
3.410000,0.794313,0.205670,0.885927
3.420000,0.794296,0.205687,0.885904
3.430000,0.794280,0.205704,0.885879
3.440000,0.794264,0.205720,0.885854
3.450000,0.794248,0.205736,0.885828
3.460000,0.794233,0.205752,0.885801
3.470000,0.794218,0.205767,0.885773
3.480000,0.794204,0.205782,0.885745
3.490000,0.794189,0.205796,0.885716
3.500000,0.794175,0.205811,0.885687
3.510000,0.794162,0.205825,0.885657
3.520000,0.794148,0.205838,0.885627
3.530000,0.794135,0.205852,0.885596
3.540000,0.794122,0.205865,0.885565
3.550000,0.794110,0.205878,0.885535
3.560000,0.794098,0.205890,0.885503
3.570000,0.794086,0.205902,0.885472
3.580000,0.794074,0.205914,0.885441
3.590000,0.794063,0.205926,0.885410
3.600000,0.794051,0.205937,0.885378
3.610000,0.794041,0.205949,0.885347
3.620000,0.794030,0.205959,0.885316
3.630000,0.794019,0.205970,0.885285
3.640000,0.794009,0.205981,0.885254
3.650000,0.793999,0.205991,0.885223
3.660000,0.793990,0.206001,0.885193
3.670000,0.793980,0.206010,0.885162
3.680000,0.793971,0.206020,0.885132
3.690000,0.793962,0.206029,0.885103
3.700000,0.793953,0.206038,0.885073
3.710000,0.793944,0.206047,0.885044
3.720000,0.793936,0.206056,0.885016
3.730000,0.793927,0.206064,0.884987
3.740000,0.793919,0.206073,0.884959
3.750000,0.793911,0.206081,0.884932
3.760000,0.793904,0.206089,0.884905
3.770000,0.793896,0.206096,0.884878
3.780000,0.793889,0.206104,0.884852
3.790000,0.793881,0.206111,0.884826
3.800000,0.793874,0.206119,0.884801
3.810000,0.793867,0.206126,0.884776
3.820000,0.793860,0.206133,0.884752
3.830000,0.793854,0.206140,0.884728
3.840000,0.793847,0.206146,0.884705
3.850000,0.793841,0.206153,0.884682
3.860000,0.793835,0.206159,0.884660
3.870000,0.793829,0.206165,0.884638
3.880000,0.793823,0.206171,0.884616
3.890000,0.793817,0.206177,0.884596
3.900000,0.793811,0.206183,0.884575
3.910000,0.793805,0.206189,0.884555
3.920000,0.793800,0.206195,0.884536
3.930000,0.793795,0.206200,0.884517
3.940000,0.793789,0.206205,0.884499
3.950000,0.793784,0.206211,0.884481
3.960000,0.793779,0.206216,0.884464
3.970000,0.793774,0.206221,0.884447
3.980000,0.793769,0.206226,0.884430
3.990000,0.793764,0.206231,0.884414
4.000000,0.793760,0.206236,0.884399
4.010000,0.793755,0.206240,0.884383
4.020000,0.793751,0.206245,0.884369
4.030000,0.793746,0.206249,0.884355
4.040000,0.793742,0.206254,0.884341
4.050000,0.793738,0.206258,0.884328
4.060000,0.793734,0.206262,0.884315
4.070000,0.793729,0.206266,0.884302
4.080000,0.793725,0.206271,0.884290
4.090000,0.793722,0.206275,0.884278
4.100000,0.793718,0.206278,0.884267
4.110000,0.793714,0.206282,0.884256
4.120000,0.793710,0.206286,0.884245
4.130000,0.793706,0.206290,0.884235
4.140000,0.793703,0.206294,0.884225
4.150000,0.793699,0.206297,0.884216
4.160000,0.793696,0.206301,0.884207
4.170000,0.793692,0.206304,0.884198
4.180000,0.793689,0.206308,0.884189
4.190000,0.793686,0.206311,0.884181
4.200000,0.793683,0.206314,0.884173
4.210000,0.793679,0.206317,0.884165
4.220000,0.793676,0.206321,0.884158
4.230000,0.793673,0.206324,0.884151
4.240000,0.793670,0.206327,0.884144
4.250000,0.793667,0.206330,0.884137
4.260000,0.793664,0.206333,0.884131
4.270000,0.793661,0.206336,0.884125
4.280000,0.793659,0.206339,0.884119
4.290000,0.793656,0.206341,0.884113
4.300000,0.793653,0.206344,0.884108
4.310000,0.793650,0.206347,0.884103
4.320000,0.793648,0.206350,0.884098
4.330000,0.793645,0.206352,0.884093
4.340000,0.793643,0.206355,0.884088
4.350000,0.793640,0.206357,0.884084
4.360000,0.793638,0.206360,0.884079
4.370000,0.793635,0.206362,0.884075
4.380000,0.793633,0.206365,0.884071
4.390000,0.793630,0.206367,0.884067
4.400000,0.793628,0.206370,0.884064
4.410000,0.793626,0.206372,0.884060
4.420000,0.793623,0.206374,0.884057
4.430000,0.793621,0.206377,0.884054
4.440000,0.793619,0.206379,0.884050
4.450000,0.793617,0.206381,0.884047
4.460000,0.793615,0.206383,0.884044
4.470000,0.793613,0.206385,0.884042
4.480000,0.793611,0.206387,0.884039
4.490000,0.793609,0.206389,0.884036
4.500000,0.793607,0.206391,0.884034
4.510000,0.793605,0.206393,0.884031
4.520000,0.793603,0.206395,0.884029
4.530000,0.793601,0.206397,0.884027
4.540000,0.793599,0.206399,0.884025
4.550000,0.793597,0.206401,0.884022
4.560000,0.793595,0.206403,0.884020
4.570000,0.793594,0.206405,0.884018
4.580000,0.793592,0.206406,0.884017
4.590000,0.793590,0.206408,0.884015
4.600000,0.793588,0.206410,0.884013
4.610000,0.793587,0.206412,0.884011
4.620000,0.793585,0.206413,0.884009
4.630000,0.793584,0.206415,0.884008
4.640000,0.793582,0.206416,0.884006
4.650000,0.793580,0.206418,0.884005
4.660000,0.793579,0.206420,0.884003
4.670000,0.793577,0.206421,0.884002
4.680000,0.793576,0.206423,0.884000
4.690000,0.793574,0.206424,0.883999
4.700000,0.793573,0.206426,0.883997
4.710000,0.793571,0.206427,0.883996
4.720000,0.793570,0.206429,0.883995
4.730000,0.793569,0.206430,0.883993
4.740000,0.793567,0.206431,0.883992
4.750000,0.793566,0.206433,0.883991
4.760000,0.793565,0.206434,0.883989
4.770000,0.793563,0.206435,0.883988
4.780000,0.793562,0.206437,0.883987
4.790000,0.793561,0.206438,0.883986
4.800000,0.793560,0.206439,0.883985
4.810000,0.793558,0.206440,0.883983
4.820000,0.793557,0.206442,0.883982
4.830000,0.793556,0.206443,0.883981
4.840000,0.793555,0.206444,0.883980
4.850000,0.793554,0.206445,0.883979
4.860000,0.793553,0.206446,0.883978
4.870000,0.793552,0.206447,0.883977
4.880000,0.793551,0.206448,0.883976
4.890000,0.793549,0.206449,0.883974
4.900000,0.793548,0.206451,0.883973
4.910000,0.793547,0.206452,0.883972
4.920000,0.793546,0.206453,0.883971
4.930000,0.793545,0.206454,0.883970
4.940000,0.793544,0.206455,0.883969
4.950000,0.793543,0.206456,0.883968
4.960000,0.793543,0.206457,0.883967
4.970000,0.793542,0.206457,0.883966
4.980000,0.793541,0.206458,0.883965
4.990000,0.793540,0.206459,0.883964
