Time,y1,y2,y3,u1,u2,u3,du1,du2,du3
74,96.019,50.4612,-0.137063,0.316274,0.626276,0.393314,0.000701696,-0.000135541,0.000431001
75,96.0525,50.4653,-0.136331,0.31688,0.626137,0.393745,0.000605702,-0.000138462,0.000430584
76,96.0866,50.4694,-0.135619,0.317393,0.625997,0.394175,0.0005126,-0.000140488,0.000430107
77,96.1211,50.4734,-0.134926,0.317815,0.625854,0.394604,0.000422716,-0.000142932,0.00042966
78,96.1559,50.4773,-0.134252,0.318152,0.625708,0.395034,0.000336885,-0.000145614,0.000429243
79,96.1911,50.481,-0.133596,0.318406,0.62556,0.395462,0.000254005,-0.000148296,0.000428826
80,96.2265,50.4847,-0.132957,0.318581,0.62541,0.395891,0.000174552,-0.000149906,0.000428408
81,96.262,50.4882,-0.132336,0.318679,0.625259,0.396319,9.85861e-05,-0.000150919,0.000428021
82,96.2975,50.4916,-0.13173,0.318705,0.625108,0.396746,2.58088e-05,-0.000151515,0.000427574
83,96.333,50.4949,-0.131139,0.318662,0.624956,0.397174,-4.29749e-05,-0.00015223,0.000427097
84,96.3685,50.4981,-0.130563,0.318553,0.624803,0.3976,-0.000109345,-0.000152707,0.000426739
85,96.4038,50.5012,-0.130001,0.318381,0.62465,0.398027,-0.00017181,-0.000152647,0.000426263
86,96.439,50.5041,-0.129453,0.31815,0.624498,0.398452,-0.000230908,-0.000152409,0.000425845
87,96.4739,50.5069,-0.128917,0.317863,0.624346,0.398878,-0.000287503,-0.000151932,0.000425339
88,96.5085,50.5096,-0.128393,0.317522,0.624195,0.399303,-0.000340253,-0.000150979,0.000424922
89,96.5427,50.5121,-0.12788,0.317132,0.624045,0.399727,-0.000390202,-0.000149727,0.000424415
90,96.5765,50.5146,-0.127378,0.316696,0.623897,0.400151,-0.000436604,-0.000148594,0.000423938
91,96.6099,50.5169,-0.126886,0.316215,0.623749,0.400574,-0.000480443,-0.000147104,0.000423402
92,96.6428,50.5191,-0.126402,0.315694,0.623604,0.400997,-0.000520915,-0.000145435,0.000422925
93,96.6752,50.5212,-0.125928,0.315135,0.62346,0.40142,-0.000559062,-0.000143707,0.000422359
94,96.707,50.5231,-0.125461,0.314542,0.623319,0.401842,-0.000593603,-0.000141442,0.000421822
95,96.7382,50.5249,-0.125001,0.313916,0.62318,0.402263,-0.00062564,-0.000138998,0.000421226
96,96.7688,50.5267,-0.124547,0.31326,0.623043,0.402683,-0.000655442,-0.000136852,0.0004206
97,96.7988,50.5283,-0.1241,0.312579,0.622909,0.403103,-0.000681818,-0.000134349,0.000420064
98,96.828,50.5298,-0.123658,0.311873,0.622777,0.403523,-0.000705898,-0.000131905,0.000419378
99,96.8566,50.5311,-0.12322,0.311145,0.622648,0.403942,-0.000727981,-0.000128806,0.000418723
100,96.8844,50.5324,-0.122787,0.310398,0.622522,0.40436,-0.000746876,-0.000125945,0.000418067
101,96.9116,50.5336,-0.122357,0.309634,0.622399,0.404777,-0.000763744,-0.000122905,0.000417382
102,96.9379,50.5346,-0.12193,0.308856,0.622279,0.405194,-0.000778377,-0.000120282,0.000416607
103,96.9635,50.5356,-0.121505,0.308065,0.622162,0.405609,-0.000790685,-0.000117004,0.000415921
104,96.9883,50.5364,-0.121082,0.307264,0.622048,0.406025,-0.000800699,-0.000113487,0.000415146
105,97.0123,50.5372,-0.12066,0.306456,0.621938,0.406439,-0.000808835,-0.000110149,0.000414312
106,97.0355,50.5379,-0.120239,0.305641,0.621831,0.406852,-0.000815034,-0.00010705,0.000413507
107,97.0579,50.5384,-0.119819,0.304821,0.621727,0.407265,-0.000819236,-0.000103891,0.000412703
108,97.0795,50.5389,-0.119397,0.303999,0.621627,0.407677,-0.000821948,-0.000100493,0.000411808
109,97.1002,50.5393,-0.118976,0.303177,0.62153,0.408088,-0.000822514,-9.66787e-05,0.000410944
110,97.1202,50.5396,-0.118553,0.302355,0.621437,0.408498,-0.00082159,-9.31621e-05,0.00041002
111,97.1393,50.5399,-0.118129,0.301536,0.621347,0.408907,-0.000819027,-9.0003e-05,0.000409067
112,97.1576,50.54,-0.117702,0.300721,0.62126,0.409315,-0.000814855,-8.65459e-05,0.000408113
113,97.1751,50.5401,-0.117273,0.299912,0.621178,0.409722,-0.00080955,-8.28505e-05,0.000407159
114,97.1918,50.5401,-0.116842,0.299109,0.621098,0.410128,-0.000802547,-7.96318e-05,0.000406116
115,97.2077,50.5401,-0.116407,0.298315,0.621022,0.410533,-0.000794411,-7.63535e-05,0.000405103
116,97.2228,50.54,-0.115969,0.29753,0.620949,0.410938,-0.000785112,-7.26581e-05,0.00040403
117,97.2372,50.5398,-0.115526,0.296755,0.62088,0.41134,-0.000774622,-6.90222e-05,0.000402898
118,97.2507,50.5395,-0.11508,0.295992,0.620814,0.411742,-0.000762939,-6.59227e-05,0.000401855
119,97.2635,50.5392,-0.114629,0.295242,0.620751,0.412143,-0.000750631,-6.27041e-05,0.000400722
120,97.2755,50.5389,-0.114174,0.294504,0.620692,0.412543,-0.000737071,-5.93066e-05,0.00039953
121,97.2868,50.5385,-0.113713,0.293782,0.620636,0.412941,-0.000722438,-5.61476e-05,0.000398397
122,97.2973,50.538,-0.113247,0.293074,0.620583,0.413338,-0.000707656,-5.28097e-05,0.000397176
123,97.3072,50.5376,-0.112776,0.292383,0.620533,0.413734,-0.000691712,-4.95911e-05,0.000395924
124,97.3163,50.537,-0.112299,0.291708,0.620487,0.414129,-0.000675142,-4.64916e-05,0.000394702
125,97.3248,50.5365,-0.111815,0.29105,0.620443,0.414522,-0.000658005,-4.37498e-05,0.00039342
126,97.3325,50.5358,-0.111326,0.290409,0.620403,0.414914,-0.000640273,-4.05908e-05,0.000392169
127,97.3396,50.5352,-0.11083,0.289787,0.620365,0.415305,-0.000622034,-3.76701e-05,0.000390798
128,97.3461,50.5345,-0.110328,0.289184,0.62033,0.415695,-0.000603229,-3.49283e-05,0.000389516
129,97.352,50.5338,-0.109819,0.288599,0.620298,0.416083,-0.000584513,-3.19481e-05,0.000388116
130,97.3572,50.5331,-0.109304,0.288034,0.620269,0.41647,-0.000565201,-2.92063e-05,0.000386775
131,97.3619,50.5324,-0.108781,0.287489,0.620242,0.416855,-0.000545442,-2.66433e-05,0.000385344
