t,y,error,u
2.700000,1.041925,-0.042016,0.945186
2.710000,1.041815,-0.041925,0.945464
2.720000,1.041684,-0.041815,0.945762
2.730000,1.041535,-0.041684,0.946080
2.740000,1.041366,-0.041535,0.946419
2.750000,1.041179,-0.041366,0.946777
2.760000,1.040974,-0.041179,0.947155
2.770000,1.040750,-0.040974,0.947552
2.780000,1.040509,-0.040750,0.947968
2.790000,1.040251,-0.040509,0.948403
2.800000,1.039976,-0.040251,0.948856
2.810000,1.039684,-0.039976,0.949327
2.820000,1.039375,-0.039684,0.949816
2.830000,1.039051,-0.039375,0.950323
2.840000,1.038711,-0.039051,0.950848
2.850000,1.038356,-0.038711,0.951389
2.860000,1.037986,-0.038356,0.951947
2.870000,1.037600,-0.037986,0.952522
2.880000,1.037201,-0.037600,0.953113
2.890000,1.036787,-0.037201,0.953720
2.900000,1.036360,-0.036787,0.954343
2.910000,1.035919,-0.036360,0.954982
2.920000,1.035465,-0.035919,0.955635
2.930000,1.034998,-0.035465,0.956304
2.940000,1.034519,-0.034998,0.956987
2.950000,1.034027,-0.034519,0.957685
2.960000,1.033524,-0.034027,0.958397
2.970000,1.033008,-0.033524,0.959123
2.980000,1.032482,-0.033008,0.959862
2.990000,1.031944,-0.032482,0.960615
3.000000,1.031396,-0.031944,0.961381
3.010000,1.030837,-0.031396,0.962160
3.020000,1.030268,-0.030837,0.962951
3.030000,1.029689,-0.030268,0.963755
3.040000,1.029101,-0.029689,0.964571
3.050000,1.028503,-0.029101,0.965398
3.060000,1.027896,-0.028503,0.966238
3.070000,1.027281,-0.027896,0.967088
3.080000,1.026657,-0.027281,0.967949
3.090000,1.026025,-0.026657,0.968821
3.100000,1.025385,-0.026025,0.969704
3.110000,1.024737,-0.025385,0.970597
3.120000,1.024083,-0.024737,0.971499
3.130000,1.023421,-0.024083,0.972412
3.140000,1.022752,-0.023421,0.973334
3.150000,1.022076,-0.022752,0.974265
3.160000,1.021395,-0.022076,0.975205
3.170000,1.020707,-0.021395,0.976154
3.180000,1.020014,-0.020707,0.977111
3.190000,1.019315,-0.020014,0.978077
3.200000,1.018611,-0.019315,0.979050
3.210000,1.017901,-0.018611,0.980032
3.220000,1.017187,-0.017901,0.981020
3.230000,1.016469,-0.017187,0.982016
3.240000,1.015746,-0.016469,0.983019
3.250000,1.015019,-0.015746,0.984029
3.260000,1.014289,-0.015019,0.985045
3.270000,1.013555,-0.014289,0.986068
3.280000,1.012817,-0.013555,0.987096
3.290000,1.012077,-0.012817,0.988130
3.300000,1.011334,-0.012077,0.989170
3.310000,1.010588,-0.011334,0.990216
3.320000,1.009839,-0.010588,0.991266
3.330000,1.009089,-0.009839,0.992321
3.340000,1.008336,-0.009089,0.993381
3.350000,1.007582,-0.008336,0.994445
3.360000,1.006826,-0.007582,0.995514
3.370000,1.006069,-0.006826,0.996587
3.380000,1.005310,-0.006069,0.997663
3.390000,1.004551,-0.005310,0.998743
3.400000,1.003791,-0.004551,0.999826
3.410000,1.003031,-0.003791,1.000912
3.420000,1.002270,-0.003031,1.002001
3.430000,1.001509,-0.002270,1.003093
3.440000,1.000749,-0.001509,1.004188
3.450000,0.999988,-0.000749,1.005284
3.460000,0.999228,0.000012,1.006383
3.470000,0.998469,0.000772,1.007484
3.480000,0.997710,0.001531,1.008586
3.490000,0.996953,0.002290,1.009690
3.500000,0.996197,0.003047,1.010795
3.510000,0.995442,0.003803,1.011901
3.520000,0.994688,0.004558,1.013008
3.530000,0.993936,0.005312,1.014116
3.540000,0.993186,0.006064,1.015225
3.550000,0.992439,0.006814,1.016333
3.560000,0.991693,0.007561,1.017442
3.570000,0.990950,0.008307,1.018551
3.580000,0.990209,0.009050,1.019659
3.590000,0.989471,0.009791,1.020767
3.600000,0.988735,0.010529,1.021875
3.610000,0.988003,0.011265,1.022981
3.620000,0.987274,0.011997,1.024087
3.630000,0.986548,0.012726,1.025192
3.640000,0.985825,0.013452,1.026295
3.650000,0.985106,0.014175,1.027398
3.660000,0.984391,0.014894,1.028498
3.670000,0.983679,0.015609,1.029597
3.680000,0.982971,0.016321,1.030693
3.690000,0.982268,0.017029,1.031788
3.700000,0.981568,0.017732,1.032881
3.710000,0.980873,0.018432,1.033971
3.720000,0.980183,0.019127,1.035058
3.730000,0.979496,0.019817,1.036143
3.740000,0.978815,0.020504,1.037225
3.750000,0.978138,0.021185,1.038304
3.760000,0.977466,0.021862,1.039380
3.770000,0.976800,0.022534,1.040453
3.780000,0.976138,0.023200,1.041522
3.790000,0.975481,0.023862,1.042588
3.800000,0.974830,0.024519,1.043650
3.810000,0.974184,0.025170,1.044708
3.820000,0.973544,0.025816,1.045762
3.830000,0.972909,0.026456,1.046813
3.840000,0.972280,0.027091,1.047859
3.850000,0.971657,0.027720,1.048901
3.860000,0.971039,0.028343,1.049938
3.870000,0.970428,0.028961,1.050971
3.880000,0.969823,0.029572,1.051999
3.890000,0.969223,0.030177,1.053022
3.900000,0.968630,0.030777,1.054041
3.910000,0.968043,0.031370,1.055054
3.920000,0.967463,0.031957,1.056063
3.930000,0.966888,0.032537,1.057066
3.940000,0.966321,0.033112,1.058064
3.950000,0.965759,0.033679,1.059056
3.960000,0.965205,0.034241,1.060043
3.970000,0.964657,0.034795,1.061025
3.980000,0.964116,0.035343,1.062000
3.990000,0.963581,0.035884,1.062970
4.000000,0.963054,0.036419,1.063934
4.010000,0.962533,0.036946,1.064892
4.020000,0.962019,0.037467,1.065844
4.030000,0.961512,0.037981,1.066790
4.040000,0.961012,0.038488,1.067729
4.050000,0.960520,0.038988,1.068662
4.060000,0.960034,0.039480,1.069589
4.070000,0.959555,0.039966,1.070509
4.080000,0.959084,0.040445,1.071423
4.090000,0.958620,0.040916,1.072330
4.100000,0.958163,0.041380,1.073230
4.110000,0.957714,0.041837,1.074124
4.120000,0.957271,0.042286,1.075011
4.130000,0.956837,0.042729,1.075891
4.140000,0.956409,0.043163,1.076764
4.150000,0.955989,0.043591,1.077630
4.160000,0.955576,0.044011,1.078489
4.170000,0.955171,0.044424,1.079340
4.180000,0.954773,0.044829,1.080185
4.190000,0.954383,0.045227,1.081022
4.200000,0.954000,0.045617,1.081852
4.210000,0.953625,0.046000,1.082675
4.220000,0.953257,0.046375,1.083490
4.230000,0.952897,0.046743,1.084298
4.240000,0.952544,0.047103,1.085099
4.250000,0.952199,0.047456,1.085892
4.260000,0.951862,0.047801,1.086677
4.270000,0.951532,0.048138,1.087455
4.280000,0.951209,0.048468,1.088225
4.290000,0.950894,0.048791,1.088987
4.300000,0.950587,0.049106,1.089742
4.310000,0.950287,0.049413,1.090489
4.320000,0.949995,0.049713,1.091228
4.330000,0.949710,0.050005,1.091960
4.340000,0.949433,0.050290,1.092683
4.350000,0.949163,0.050567,1.093399
4.360000,0.948901,0.050837,1.094107
4.370000,0.948647,0.051099,1.094807
4.380000,0.948399,0.051353,1.095499
4.390000,0.948160,0.051601,1.096183
4.400000,0.947928,0.051840,1.096859
4.410000,0.947703,0.052072,1.097528
4.420000,0.947485,0.052297,1.098188
4.430000,0.947276,0.052515,1.098840
4.440000,0.947073,0.052724,1.099485
4.450000,0.946878,0.052927,1.100121
4.460000,0.946690,0.053122,1.100749
4.470000,0.946509,0.053310,1.101370
4.480000,0.946336,0.053491,1.101982
4.490000,0.946170,0.053664,1.102587
4.500000,0.946011,0.053830,1.103183
4.510000,0.945860,0.053989,1.103771
4.520000,0.945715,0.054140,1.104351
4.530000,0.945578,0.054285,1.104924
4.540000,0.945448,0.054422,1.105488
4.550000,0.945325,0.054552,1.106044
4.560000,0.945209,0.054675,1.106592
4.570000,0.945099,0.054791,1.107133
4.580000,0.944997,0.054901,1.107665
4.590000,0.944902,0.055003,1.108189
4.600000,0.944814,0.055098,1.108706
4.610000,0.944732,0.055186,1.109214
4.620000,0.944657,0.055268,1.109715
4.630000,0.944589,0.055343,1.110207
4.640000,0.944528,0.055411,1.110692
4.650000,0.944474,0.055472,1.111169
4.660000,0.944426,0.055526,1.111638
4.670000,0.944384,0.055574,1.112099
4.680000,0.944349,0.055616,1.112553
4.690000,0.944321,0.055651,1.112998
4.700000,0.944299,0.055679,1.113436
4.710000,0.944283,0.055701,1.113866
4.720000,0.944274,0.055717,1.114288
4.730000,0.944271,0.055726,1.114703
4.740000,0.944274,0.055729,1.115110
4.750000,0.944284,0.055726,1.115510
4.760000,0.944299,0.055716,1.115901
4.770000,0.944321,0.055701,1.116286
4.780000,0.944348,0.055679,1.116662
4.790000,0.944382,0.055652,1.117032
4.800000,0.944422,0.055618,1.117393
4.810000,0.944467,0.055578,1.117748
4.820000,0.944518,0.055533,1.118095
4.830000,0.944575,0.055482,1.118434
4.840000,0.944638,0.055425,1.118767
4.850000,0.944706,0.055362,1.119092
4.860000,0.944780,0.055294,1.119409
4.870000,0.944859,0.055220,1.119720
4.880000,0.944944,0.055141,1.120023
4.890000,0.945034,0.055056,1.120320
4.900000,0.945129,0.054966,1.120609
4.910000,0.945230,0.054871,1.120891
4.920000,0.945336,0.054770,1.121167
4.930000,0.945447,0.054664,1.121435
4.940000,0.945563,0.054553,1.121696
4.950000,0.945685,0.054437,1.121951
4.960000,0.945811,0.054315,1.122199
4.970000,0.945942,0.054189,1.122440
4.980000,0.946078,0.054058,1.122674
4.990000,0.946218,0.053922,1.122902
5.000000,0.946364,0.053782,1.123123
5.010000,0.946514,0.053636,1.123337
5.020000,0.946669,0.053486,1.123545
5.030000,0.946828,0.053331,1.123747
5.040000,0.946991,0.053172,1.123942
5.050000,0.947159,0.053009,1.124131
5.060000,0.947332,0.052841,1.124313
5.070000,0.947508,0.052668,1.124489
5.080000,0.947689,0.052492,1.124659
5.090000,0.947874,0.052311,1.124823
5.100000,0.948063,0.052126,1.124981
5.110000,0.948256,0.051937,1.125133
5.120000,0.948453,0.051744,1.125279
5.130000,0.948654,0.051547,1.125419
5.140000,0.948858,0.051346,1.125553
5.150000,0.949067,0.051142,1.125681
5.160000,0.949279,0.050933,1.125804
5.170000,0.949494,0.050721,1.125920
5.180000,0.949714,0.050506,1.126032
5.190000,0.949936,0.050286,1.126137
5.200000,0.950162,0.050064,1.126237
5.210000,0.950392,0.049838,1.126332
5.220000,0.950625,0.049608,1.126421
5.230000,0.950861,0.049375,1.126505
5.240000,0.951100,0.049139,1.126584
5.250000,0.951342,0.048900,1.126657
5.260000,0.951587,0.048658,1.126725
5.270000,0.951835,0.048413,1.126788
5.280000,0.952086,0.048165,1.126847
5.290000,0.952340,0.047914,1.126900
5.300000,0.952597,0.047660,1.126948
5.310000,0.952856,0.047403,1.126991
5.320000,0.953119,0.047144,1.127030
5.330000,0.953383,0.046881,1.127063
5.340000,0.953650,0.046617,1.127093
