time,u,y
8.1800,1.0715,71488150.3395
8.1900,0.8325,73126370.1232
8.2000,1.0172,74802131.3531
8.2100,1.1278,76516294.2718
8.2200,0.8224,78269738.6779
8.2300,1.0230,80063365.1154
8.2400,1.2529,81898094.2166
8.2500,0.9074,83774867.8289
8.2600,0.8373,85694649.6214
8.2700,0.9589,87658425.0769
8.2800,1.2541,89667202.2471
8.2900,0.8585,91722012.5053
8.3000,0.7716,93823910.7863
8.3100,1.1071,95973976.0749
8.3200,1.4040,98173312.1036
8.3300,0.6339,100423047.9889
8.3400,1.1578,102724338.8713
8.3500,0.9456,105078365.9253
8.3600,0.9147,107486337.9739
8.3700,1.0179,109949490.7772
8.3800,0.8899,112469089.2045
8.3900,1.1889,115046426.7583
8.4000,0.9982,117682826.3416
8.4100,1.0606,120379641.5494
8.4200,1.0780,123138256.9294
8.4300,0.8455,125960088.6833
8.4400,1.0587,128846585.2828
8.4500,0.9850,131799228.8356
8.4600,1.0553,134819535.0396
8.4700,1.1464,137909054.4860
8.4800,1.0268,141069373.1911
8.4900,1.0226,144302113.7707
8.5000,0.8803,147608935.6254
8.5100,1.3282,150991536.4898
8.5200,1.0895,154451652.9762
8.5300,0.7572,157991061.1062
8.5400,1.1591,161611578.4201
