t,y,error,u
3.280000,1.005217,-0.005790,0.997288
3.290000,1.004641,-0.005217,0.998203
3.300000,1.004061,-0.004641,0.999123
3.310000,1.003478,-0.004061,1.000046
3.320000,1.002891,-0.003478,1.000974
3.330000,1.002302,-0.002891,1.001905
3.340000,1.001710,-0.002302,1.002840
3.350000,1.001116,-0.001710,1.003778
3.360000,1.000520,-0.001116,1.004720
3.370000,0.999921,-0.000520,1.005664
3.380000,0.999321,0.000079,1.006611
3.390000,0.998719,0.000679,1.007561
3.400000,0.998115,0.001281,1.008513
3.410000,0.997510,0.001885,1.009468
3.420000,0.996904,0.002490,1.010424
3.430000,0.996297,0.003096,1.011383
3.440000,0.995689,0.003703,1.012343
3.450000,0.995081,0.004311,1.013304
3.460000,0.994472,0.004919,1.014268
3.470000,0.993862,0.005528,1.015232
3.480000,0.993253,0.006138,1.016197
3.490000,0.992644,0.006747,1.017163
3.500000,0.992035,0.007356,1.018130
3.510000,0.991426,0.007965,1.019098
3.520000,0.990818,0.008574,1.020066
3.530000,0.990210,0.009182,1.021034
3.540000,0.989604,0.009790,1.022003
3.550000,0.988998,0.010396,1.022971
3.560000,0.988394,0.011002,1.023939
3.570000,0.987790,0.011606,1.024907
3.580000,0.987188,0.012210,1.025874
3.590000,0.986588,0.012812,1.026840
3.600000,0.985990,0.013412,1.027806
3.610000,0.985393,0.014010,1.028771
3.620000,0.984798,0.014607,1.029734
3.630000,0.984205,0.015202,1.030697
3.640000,0.983615,0.015795,1.031658
3.650000,0.983027,0.016385,1.032617
3.660000,0.982441,0.016973,1.033575
3.670000,0.981858,0.017559,1.034531
3.680000,0.981278,0.018142,1.035486
3.690000,0.980701,0.018722,1.036438
3.700000,0.980126,0.019299,1.037388
3.710000,0.979555,0.019874,1.038336
3.720000,0.978987,0.020445,1.039281
3.730000,0.978422,0.021013,1.040224
3.740000,0.977860,0.021578,1.041164
3.750000,0.977302,0.022140,1.042102
3.760000,0.976748,0.022698,1.043036
3.770000,0.976197,0.023252,1.043968
3.780000,0.975650,0.023803,1.044897
3.790000,0.975107,0.024350,1.045822
3.800000,0.974568,0.024893,1.046744
3.810000,0.974033,0.025432,1.047662
3.820000,0.973503,0.025967,1.048577
3.830000,0.972976,0.026497,1.049489
3.840000,0.972454,0.027024,1.050396
3.850000,0.971936,0.027546,1.051300
3.860000,0.971423,0.028064,1.052200
3.870000,0.970914,0.028577,1.053096
3.880000,0.970410,0.029086,1.053988
3.890000,0.969911,0.029590,1.054875
3.900000,0.969417,0.030089,1.055759
3.910000,0.968927,0.030583,1.056637
3.920000,0.968443,0.031073,1.057512
3.930000,0.967963,0.031557,1.058382
3.940000,0.967489,0.032037,1.059247
3.950000,0.967019,0.032511,1.060107
3.960000,0.966555,0.032981,1.060963
3.970000,0.966097,0.033445,1.061814
3.980000,0.965643,0.033903,1.062660
3.990000,0.965195,0.034357,1.063500
4.000000,0.964752,0.034805,1.064336
4.010000,0.964315,0.035248,1.065167
4.020000,0.963883,0.035685,1.065992
4.030000,0.963457,0.036117,1.066812
4.040000,0.963037,0.036543,1.067627
4.050000,0.962622,0.036963,1.068436
4.060000,0.962213,0.037378,1.069239
4.070000,0.961810,0.037787,1.070038
4.080000,0.961412,0.038190,1.070830
4.090000,0.961020,0.038588,1.071617
4.100000,0.960634,0.038980,1.072398
4.110000,0.960254,0.039366,1.073173
4.120000,0.959880,0.039746,1.073943
4.130000,0.959512,0.040120,1.074706
4.140000,0.959150,0.040488,1.075464
4.150000,0.958794,0.040850,1.076216
4.160000,0.958444,0.041206,1.076961
4.170000,0.958100,0.041556,1.077701
4.180000,0.957762,0.041900,1.078435
4.190000,0.957430,0.042238,1.079162
4.200000,0.957104,0.042570,1.079883
4.210000,0.956785,0.042896,1.080598
4.220000,0.956471,0.043215,1.081307
4.230000,0.956164,0.043529,1.082009
4.240000,0.955863,0.043836,1.082705
4.250000,0.955568,0.044137,1.083395
4.260000,0.955280,0.044432,1.084078
4.270000,0.954997,0.044720,1.084755
4.280000,0.954721,0.045003,1.085425
4.290000,0.954451,0.045279,1.086089
4.300000,0.954187,0.045549,1.086747
4.310000,0.953929,0.045813,1.087398
4.320000,0.953678,0.046071,1.088042
4.330000,0.953433,0.046322,1.088680
4.340000,0.953194,0.046567,1.089311
4.350000,0.952961,0.046806,1.089936
4.360000,0.952735,0.047039,1.090554
4.370000,0.952514,0.047265,1.091165
4.380000,0.952300,0.047486,1.091770
4.390000,0.952092,0.047700,1.092368
4.400000,0.951890,0.047908,1.092959
4.410000,0.951695,0.048110,1.093544
4.420000,0.951506,0.048305,1.094122
4.430000,0.951322,0.048494,1.094694
4.440000,0.951145,0.048678,1.095258
4.450000,0.950974,0.048855,1.095816
4.460000,0.950809,0.049026,1.096368
4.470000,0.950651,0.049191,1.096912
4.480000,0.950498,0.049349,1.097450
4.490000,0.950351,0.049502,1.097981
4.500000,0.950211,0.049649,1.098506
4.510000,0.950076,0.049789,1.099023
4.520000,0.949947,0.049924,1.099534
4.530000,0.949825,0.050053,1.100039
4.540000,0.949708,0.050175,1.100537
4.550000,0.949597,0.050292,1.101028
4.560000,0.949492,0.050403,1.101512
4.570000,0.949393,0.050508,1.101990
4.580000,0.949300,0.050607,1.102461
4.590000,0.949212,0.050700,1.102925
4.600000,0.949130,0.050788,1.103383
4.610000,0.949054,0.050870,1.103834
