t,y,error,u
2.290000,0.171739,0.840567,1.838247
2.300000,0.184026,0.828261,1.825624
2.310000,0.196293,0.815974,1.812909
2.320000,0.208536,0.803707,1.800107
2.330000,0.220754,0.791464,1.787224
2.340000,0.232944,0.779246,1.774265
2.350000,0.245104,0.767056,1.761235
2.360000,0.257232,0.754896,1.748140
2.370000,0.269326,0.742768,1.734984
2.380000,0.281384,0.730674,1.721773
2.390000,0.293402,0.718616,1.708512
2.400000,0.305381,0.706598,1.695204
2.410000,0.317316,0.694619,1.681857
2.420000,0.329208,0.682684,1.668473
2.430000,0.341052,0.670792,1.655058
2.440000,0.352848,0.658948,1.641617
2.450000,0.364594,0.647152,1.628155
2.460000,0.376288,0.635406,1.614675
2.470000,0.387927,0.623712,1.601183
2.480000,0.399511,0.612073,1.587682
2.490000,0.411036,0.600489,1.574178
2.500000,0.422503,0.588964,1.560674
2.510000,0.433908,0.577497,1.547176
2.520000,0.445250,0.566092,1.533686
2.530000,0.456528,0.554750,1.520210
2.540000,0.467739,0.543472,1.506751
2.550000,0.478883,0.532261,1.493314
2.560000,0.489958,0.521117,1.479902
2.570000,0.500962,0.510042,1.466519
2.580000,0.511894,0.499038,1.453170
2.590000,0.522752,0.488106,1.439857
2.600000,0.533534,0.477248,1.426585
2.610000,0.544241,0.466466,1.413357
2.620000,0.554869,0.455759,1.400177
2.630000,0.565418,0.445131,1.387048
2.640000,0.575887,0.434582,1.373975
2.650000,0.586274,0.424113,1.360959
2.660000,0.596578,0.413726,1.348005
2.670000,0.606798,0.403422,1.335115
2.680000,0.616932,0.393202,1.322294
2.690000,0.626980,0.383068,1.309544
2.700000,0.636940,0.373020,1.296867
2.710000,0.646812,0.363060,1.284268
2.720000,0.656595,0.353188,1.271749
2.730000,0.666286,0.343405,1.259313
2.740000,0.675886,0.333714,1.246963
2.750000,0.685394,0.324114,1.234701
2.760000,0.694808,0.314606,1.222530
2.770000,0.704128,0.305192,1.210453
2.780000,0.713353,0.295872,1.198473
2.790000,0.722482,0.286647,1.186591
2.800000,0.731514,0.277518,1.174810
2.810000,0.740449,0.268486,1.163133
2.820000,0.749286,0.259551,1.151561
2.830000,0.758025,0.250714,1.140098
