Time,y_stack,y_A,y_B
26.7,0.931932,0.995927,0.867174
26.8,0.932637,0.996028,0.86855
26.9,0.933335,0.996128,0.869912
27,0.934026,0.996224,0.87126
27.1,0.93471,0.996318,0.872594
27.2,0.935386,0.99641,0.873914
27.3,0.936056,0.9965,0.875221
27.4,0.936718,0.996587,0.876514
27.5,0.937374,0.996672,0.877793
27.6,0.938023,0.996755,0.879059
27.7,0.938665,0.996836,0.880312
27.8,0.9393,0.996915,0.881552
27.9,0.939929,0.996992,0.88278
28,0.940552,0.997067,0.883994
28.1,0.941168,0.99714,0.885196
28.2,0.941777,0.997211,0.886386
28.3,0.942381,0.997281,0.887563
28.4,0.942978,0.997349,0.888728
28.5,0.943568,0.997415,0.889881
28.6,0.944153,0.997479,0.891022
28.7,0.944732,0.997542,0.892151
28.8,0.945304,0.997604,0.893268
28.9,0.945871,0.997663,0.894374
29,0.946432,0.997722,0.895469
29.1,0.946987,0.997779,0.896552
29.2,0.947536,0.997834,0.897623
29.3,0.94808,0.997888,0.898684
29.4,0.948618,0.997941,0.899734
29.5,0.94915,0.997992,0.900773
29.6,0.949677,0.998042,0.901801
29.7,0.950198,0.998091,0.902818
29.8,0.950714,0.998139,0.903825
29.9,0.951225,0.998185,0.904822
30,0.95173,0.99823,0.905808
30.1,0.952231,0.998274,0.906784
30.2,0.952725,0.998317,0.90775
30.3,0.953215,0.998359,0.908705
30.4,0.9537,0.9984,0.909651
30.5,0.95418,0.99844,0.910588
30.6,0.954654,0.998479,0.911514
30.7,0.955124,0.998517,0.912431
30.8,0.955589,0.998554,0.913338
30.9,0.956049,0.99859,0.914236
31,0.956505,0.998625,0.915125
31.1,0.956955,0.99866,0.916004
31.2,0.957401,0.998693,0.916874
31.3,0.957843,0.998726,0.917736
31.4,0.95828,0.998757,0.918588
31.5,0.958712,0.998788,0.919431
31.6,0.95914,0.998819,0.920266
31.7,0.959563,0.998848,0.921092
31.8,0.959982,0.998877,0.92191
31.9,0.960397,0.998905,0.922719
32,0.960807,0.998932,0.92352
32.1,0.961213,0.998959,0.924312
32.2,0.961615,0.998985,0.925096
32.3,0.962013,0.99901,0.925873
32.4,0.962406,0.999035,0.926641
32.5,0.962796,0.999059,0.927401
32.6,0.963181,0.999082,0.928153
32.7,0.963563,0.999105,0.928897
32.8,0.96394,0.999128,0.929634
32.9,0.964314,0.999149,0.930363
33,0.964684,0.999171,0.931085
33.1,0.96505,0.999191,0.931799
33.2,0.965412,0.999211,0.932505
33.3,0.96577,0.999231,0.933205
33.4,0.966125,0.99925,0.933897
33.5,0.966476,0.999269,0.934582
33.6,0.966823,0.999287,0.935259
33.7,0.967167,0.999305,0.93593
33.8,0.967507,0.999322,0.936594
33.9,0.967844,0.999339,0.937251
34,0.968177,0.999356,0.937901
34.1,0.968507,0.999372,0.938545
34.2,0.968833,0.999387,0.939181
34.3,0.969156,0.999403,0.939811
34.4,0.969475,0.999418,0.940435
34.5,0.969792,0.999432,0.941052
34.6,0.970105,0.999446,0.941663
34.7,0.970414,0.99946,0.942267
34.8,0.970721,0.999474,0.942866
34.9,0.971024,0.999487,0.943458
35,0.971325,0.9995,0.944043
35.1,0.971622,0.999512,0.944623
35.2,0.971916,0.999524,0.945197
35.3,0.972207,0.999536,0.945765
35.4,0.972495,0.999548,0.946327
35.5,0.97278,0.999559,0.946883
35.6,0.973062,0.99957,0.947433
35.7,0.973341,0.999581,0.947978
35.8,0.973617,0.999591,0.948517
35.9,0.97389,0.999601,0.94905
36,0.974161,0.999611,0.949578
36.1,0.974429,0.999621,0.950101
36.2,0.974694,0.99963,0.950618
36.3,0.974956,0.99964,0.951129
36.4,0.975215,0.999649,0.951636
36.5,0.975472,0.999657,0.952137
36.6,0.975726,0.999666,0.952633
36.7,0.975978,0.999674,0.953123
36.8,0.976227,0.999682,0.953609
36.9,0.976473,0.99969,0.95409
37,0.976717,0.999698,0.954566
37.1,0.976958,0.999706,0.955036
37.2,0.977197,0.999713,0.955502
37.3,0.977433,0.99972,0.955963
37.4,0.977667,0.999727,0.956419
37.5,0.977898,0.999734,0.956871
37.6,0.978127,0.999741,0.957318
37.7,0.978354,0.999747,0.95776
37.8,0.978578,0.999753,0.958198
37.9,0.9788,0.999759,0.958631
38,0.97902,0.999765,0.95906
38.1,0.979237,0.999771,0.959484
38.2,0.979452,0.999777,0.959904
38.3,0.979665,0.999783,0.960319
