Time,y1,y2,y3,u1,u2,u3,du1,du2,du3,dx1_est,dx2_est,dx3_est,u1_ideal,u2_ideal,u3_ideal
81,140.071,128.07,-0.146107,0.593578,0.89508,0.787975,0.00120652,0.00180137,-0.00039959,0.0404589,0.0222545,0.00577954,0.591966,0.894161,0.788339
82,140.069,128.047,-0.14463,0.594013,0.894985,0.787936,0.000435054,-9.42945e-05,-3.91603e-05,0.0327103,0.0305514,0.0057246,0.592174,0.894177,0.788336
83,140.066,128.061,-0.144616,0.594618,0.895085,0.787861,0.000604331,9.97186e-05,-7.53403e-05,0.0221295,0.0337283,0.00654321,0.592371,0.894193,0.788333
84,140.064,128.072,-0.144423,0.59468,0.894453,0.787994,6.25849e-05,-0.000631988,0.000133574,0.0206518,0.0459167,0.00331562,0.592558,0.894207,0.78833
85,140.062,128.083,-0.144852,0.594424,0.894004,0.788152,-0.000256479,-0.000448823,0.000157416,0.0249562,0.0471413,0.000516259,0.592734,0.894221,0.788328
86,140.061,128.081,-0.145234,0.59392,0.893413,0.788381,-0.000504076,-0.000591218,0.000228822,0.0335624,0.0464492,-0.00332141,0.592902,0.894234,0.788325
87,140.06,128.07,-0.145773,0.593659,0.89342,0.7885,-0.00026077,6.49691e-06,0.000119984,0.0383113,0.0306905,-0.00439049,0.59306,0.894247,0.788323
88,140.058,128.049,-0.145851,0.593849,0.894035,0.788427,0.000189662,0.00061512,-7.30157e-05,0.0354624,0.0100734,-0.00190392,0.59321,0.894258,0.788321
89,140.057,128.03,-0.145411,0.594272,0.894577,0.788299,0.000423431,0.000541985,-0.000128686,0.0283748,-0.000253756,0.0008281,0.593352,0.89427,0.788319
90,140.055,128.025,-0.144963,0.594155,0.894048,0.788419,-0.000117481,-0.000528574,0.000119746,0.0301177,0.00948951,-0.00188791,0.593487,0.89428,0.788318
91,140.053,128.03,-0.145367,0.59379,0.893706,0.788548,-0.000364184,-0.000341952,0.000129521,0.0363596,0.00974898,-0.00405325,0.593614,0.89429,0.788316
92,140.052,128.024,-0.145706,0.592141,0.891816,0.78916,-0.00164986,-0.00189048,0.000612199,0.0643588,0.0240492,-0.0151307,0.593735,0.8943,0.788315
93,140.05,128.013,-0.147408,0.591989,0.892709,0.789137,-0.000151098,0.000893474,-2.3365e-05,0.0678017,-0.0156043,-0.0121782,0.593849,0.894309,0.788313
