Time,x1,x2,x3,x1_est,x2_est,x3_est,err1,err2,err3
70,97.2928,50.5889,469.521,97.1682,50.4867,479.617,0.124544,0.10218,-10.0955
71,97.281,50.5887,469.51,97.1767,50.4794,479.614,0.104294,0.109273,-10.1047
72,97.2703,50.5744,469.515,97.1783,50.4841,479.613,0.0919353,0.0902969,-10.0981
73,97.2706,50.5851,469.488,97.1738,50.425,479.621,0.0968746,0.160112,-10.1331
74,97.2614,50.5281,469.508,97.1786,50.427,479.62,0.0828787,0.101092,-10.1119
75,97.2619,50.5372,469.517,97.1806,50.4463,479.617,0.0813285,0.0908234,-10.0995
76,97.2574,50.5491,469.496,97.1922,50.4222,479.618,0.0651484,0.126839,-10.1219
77,97.2435,50.5054,469.483,97.1982,50.3746,479.624,0.0453261,0.130828,-10.1419
78,97.2514,50.4272,469.511,97.1776,50.3916,479.627,0.0738185,0.0355392,-10.1159
79,97.2488,50.4621,469.511,97.1919,50.4174,479.624,0.0569115,0.0447038,-10.1136
80,97.2495,50.4824,469.505,97.1789,50.4117,479.626,0.0706445,0.0706654,-10.1216
81,97.2348,50.4671,469.506,97.1651,50.4089,479.631,0.0696986,0.0582591,-10.1256
82,97.224,50.4694,469.526,97.1612,50.454,479.627,0.0627517,0.0153596,-10.1004
83,97.2216,50.5134,469.523,97.1494,50.4759,479.626,0.0722177,0.0375433,-10.1034
84,97.2359,50.5359,469.52,97.1563,50.4958,479.621,0.0796451,0.0400606,-10.1004
85,97.226,50.5565,469.529,97.1622,50.5303,479.613,0.0637603,0.0261986,-10.084
86,97.2262,50.5853,469.515,97.151,50.5167,479.615,0.0752235,0.068595,-10.1003
87,97.2405,50.5818,469.535,97.1382,50.548,479.614,0.10231,0.0338729,-10.0787
88,97.2515,50.5969,469.539,97.1404,50.5878,479.603,0.111157,0.00915902,-10.0642
89,97.2418,50.6242,469.543,97.1381,50.6266,479.594,0.103703,-0.00246382,-10.0517
90,97.2382,50.6664,469.543,97.1391,50.6571,479.586,0.0990949,0.00931826,-10.0429
91,97.2478,50.6956,469.525,97.1443,50.6448,479.583,0.103471,0.0508003,-10.0582
92,97.2517,50.684,469.539,97.1523,50.6673,479.573,0.0993937,0.0166653,-10.0341
93,97.231,50.7158,469.553,97.1563,50.7084,479.562,0.0747539,0.0074531,-10.0091
94,97.2089,50.7401,469.544,97.151,50.7185,479.557,0.0579668,0.0215931,-10.0126
95,97.2023,50.7674,469.531,97.1522,50.6976,479.553,0.0500984,0.0697942,-10.0227
96,97.1898,50.7465,469.531,97.1596,50.6852,479.547,0.030251,0.0612494,-10.0168
97,97.1978,50.7302,469.535,97.1677,50.6869,479.539,0.0301549,0.0433178,-10.0043
98,97.1807,50.7203,469.549,97.1747,50.7186,479.53,0.00594967,0.00166956,-9.98131
99,97.1688,50.7296,469.532,97.1837,50.7113,479.522,-0.0148925,0.018208,-9.99019
100,97.171,50.7182,469.512,97.171,50.6541,479.529,-8.42837e-05,0.0640807,-10.0169
101,97.1815,50.6762,469.509,97.1686,50.6066,479.532,0.0129156,0.0696913,-10.0234
102,97.187,50.6349,469.502,97.1854,50.5641,479.531,0.00159585,0.070808,-10.0294
103,97.1891,50.6083,469.496,97.1848,50.5085,479.535,0.00423875,0.0997405,-10.0396
104,97.2204,50.5642,469.496,97.1893,50.472,479.54,0.0310293,0.0921438,-10.0435
105,97.2189,50.524,469.497,97.1896,50.4441,479.544,0.0293133,0.0798318,-10.0472
106,97.204,50.5,469.486,97.1898,50.3991,479.553,0.0141433,0.100915,-10.0668
107,97.1984,50.4482,469.49,97.1903,50.3755,479.559,0.00811662,0.0726829,-10.069
108,97.1944,50.4153,469.492,97.1848,50.3573,479.564,0.00963578,0.0579469,-10.0727
109,97.1872,50.4036,469.501,97.1925,50.3692,479.566,-0.00528746,0.0344111,-10.0646
110,97.2011,50.4059,469.493,97.1796,50.3547,479.574,0.0215005,0.0512481,-10.0805
111,97.2118,50.3875,469.489,97.1572,50.3293,479.584,0.0545656,0.0581858,-10.0952
112,97.2044,50.3718,469.479,97.1609,50.3001,479.59,0.0435282,0.0716532,-10.1107
113,97.1944,50.3276,469.474,97.167,50.2694,479.598,0.0273774,0.0582539,-10.1246
114,97.1764,50.2879,469.494,97.1906,50.3006,479.593,-0.0141086,-0.0127468,-10.0987
115,97.18,50.3246,469.482,97.1861,50.2835,479.602,-0.00615262,0.0411184,-10.1206
116,97.2096,50.3235,469.489,97.184,50.2848,479.608,0.025532,0.038693,-10.1198
117,97.2234,50.3242,469.491,97.1771,50.2883,479.614,0.0463413,0.035863,-10.1232
118,97.2326,50.3128,469.498,97.1729,50.3094,479.618,0.0596714,0.00347565,-10.1195
119,97.2478,50.3413,469.512,97.1609,50.3523,479.618,0.0868887,-0.0109561,-10.1058
120,97.2488,50.3863,469.499,97.1578,50.3601,479.621,0.0910447,0.0262652,-10.1217
121,97.2515,50.3979,469.486,97.157,50.3383,479.628,0.094513,0.0596411,-10.1418
122,97.2607,50.3721,469.503,97.1681,50.3648,479.625,0.0926284,0.00730946,-10.1217
123,97.2601,50.3942,469.491,97.1606,50.349,479.632,0.099535,0.0451981,-10.1413
124,97.2561,50.4061,469.467,97.1658,50.2887,479.642,0.0902082,0.117428,-10.1742
125,97.2654,50.3547,469.481,97.1735,50.2726,479.649,0.0919769,0.0821436,-10.1682
126,97.2757,50.333,469.502,97.1738,50.3047,479.648,0.101908,0.0282843,-10.1461
127,97.2623,50.3702,469.501,97.1663,50.322,479.65,0.0960692,0.0482362,-10.1483
128,97.2818,50.4,469.505,97.1725,50.3467,479.648,0.109295,0.0533681,-10.143
129,97.2855,50.4185,469.513,97.1635,50.3762,479.648,0.122007,0.0422353,-10.135
130,97.2955,50.4489,469.516,97.1428,50.3999,479.65,0.152749,0.048976,-10.134
131,97.2851,50.5043,469.501,97.1409,50.3884,479.653,0.144233,0.115862,-10.1525
132,97.2676,50.506,469.496,97.1345,50.3659,479.659,0.133154,0.140049,-10.1627
133,97.2714,50.493,469.509,97.1525,50.3839,479.656,0.118931,0.109149,-10.1479
134,97.2769,50.4966,469.509,97.1529,50.393,479.656,0.124056,0.103593,-10.147
135,97.2603,50.5258,469.502,97.1592,50.384,479.657,0.101125,0.141843,-10.1552
136,97.2538,50.4972,469.51,97.158,50.3959,479.656,0.095822,0.101218,-10.146
137,97.2728,50.5055,469.497,97.1505,50.3752,479.661,0.122371,0.130312,-10.1638
138,97.2836,50.4734,469.528,97.1442,50.4263,479.658,0.139317,0.0471137,-10.1292
139,97.2986,50.5293,469.524,97.1479,50.4591,479.652,0.150751,0.0702002,-10.1287
140,97.31,50.5674,469.518,97.1349,50.4628,479.656,0.175069,0.104587,-10.1386
141,97.2972,50.5582,469.513,97.1101,50.4502,479.661,0.187114,0.108031,-10.1485
142,97.2854,50.5733,469.514,97.1109,50.4507,479.661,0.174471,0.122606,-10.1469
143,97.2855,50.5663,469.504,97.1084,50.428,479.666,0.177019,0.138267,-10.162
144,97.2786,50.5474,469.491,97.1158,50.3874,479.669,0.162779,0.160019,-10.1788
145,97.274,50.4947,469.502,97.1159,50.3784,479.672,0.158027,0.116346,-10.1709
146,97.2754,50.4704,469.51,97.1334,50.3987,479.665,0.142017,0.0716846,-10.1559
147,97.2936,50.4751,469.487,97.1371,50.3639,479.674,0.156509,0.111171,-10.1876
148,97.2806,50.4362,469.476,97.1367,50.3128,479.683,0.143932,0.12345,-10.2073
149,97.2779,50.3785,469.494,97.1345,50.3145,479.686,0.143375,0.0640498,-10.1913
150,97.2742,50.3996,469.506,97.1432,50.3423,479.683,0.131064,0.057342,-10.1767
151,97.2674,50.4182,469.494,97.1473,50.3387,479.686,0.12007,0.0794876,-10.1913
152,97.2566,50.4004,469.504,97.1559,50.3601,479.683,0.10071,0.0403465,-10.1788
153,97.26,50.3973,469.502,97.1537,50.3702,479.685,0.106329,0.0270837,-10.1836
154,97.2479,50.4057,469.496,97.1522,50.3663,479.69,0.0957759,0.03934,-10.1931
155,97.24,50.4085,469.504,97.1512,50.3802,479.689,0.088842,0.0282887,-10.1851
156,97.2317,50.4197,469.524,97.1474,50.4302,479.684,0.0842802,-0.0104077,-10.1609
157,97.2247,50.4817,469.513,97.1677,50.4544,479.677,0.0569496,0.0273184,-10.1646
158,97.2305,50.5005,469.511,97.1804,50.467,479.673,0.0500884,0.033461,-10.1613
159,97.2331,50.5073,469.507,97.1798,50.4627,479.674,0.053302,0.0445378,-10.1669
160,97.247,50.4907,469.496,97.1882,50.4433,479.676,0.0587849,0.0473276,-10.1799
161,97.2701,50.4507,469.496,97.1933,50.4307,479.68,0.0767382,0.0199668,-10.1837
162,97.2619,50.4544,469.475,97.2007,50.3758,479.688,0.0611874,0.0786702,-10.2131
163,97.254,50.3909,469.472,97.201,50.3261,479.696,0.0530184,0.064828,-10.2246
164,97.2638,50.3263,469.502,97.2163,50.362,479.693,0.0475695,-0.0357574,-10.1911
165,97.2627,50.3613,469.496,97.2104,50.3675,479.698,0.0522794,-0.0061535,-10.2018
166,97.2638,50.3725,469.49,97.2071,50.3575,479.703,0.0566689,0.0150655,-10.2136
167,97.256,50.3764,469.501,97.1993,50.3685,479.706,0.0566614,0.0079166,-10.2048
168,97.2431,50.395,469.504,97.2094,50.3889,479.705,0.0337291,0.00609018,-10.2013
169,97.2373,50.4345,469.511,97.2215,50.4199,479.701,0.015797,0.0146411,-10.1897
170,97.2548,50.4686,469.514,97.2136,50.4411,479.701,0.0412665,0.0274403,-10.1864
171,97.2486,50.511,469.497,97.2097,50.4174,479.707,0.0389225,0.0936167,-10.2104
172,97.2571,50.5006,469.499,97.2076,50.4037,479.71,0.0494251,0.0969637,-10.2108
173,97.2407,50.476,469.489,97.212,50.3741,479.715,0.028743,0.101884,-10.2261
174,97.2356,50.4362,469.498,97.2109,50.3732,479.718,0.024663,0.0630308,-10.22
175,97.265,50.4334,469.527,97.2142,50.4374,479.711,0.0508233,-0.00396678,-10.1841
176,97.2647,50.4896,469.517,97.2258,50.4695,479.703,0.0388925,0.0201323,-10.186
177,97.2733,50.5104,469.522,97.239,50.5079,479.693,0.0343404,0.00259015,-10.1709
178,97.2617,50.5549,469.503,97.2193,50.4768,479.701,0.0424251,0.0781638,-10.1976
179,97.2569,50.5217,469.521,97.23,50.5073,479.693,0.0268532,0.0144486,-10.1719
180,97.2715,50.536,469.52,97.2175,50.5217,479.692,0.0540152,0.0143492,-10.1718
181,97.2511,50.5689,469.51,97.2244,50.5141,479.69,0.0266786,0.0548307,-10.1807
182,97.241,50.5526,469.52,97.2155,50.5243,479.692,0.0255629,0.0283501,-10.1717
183,97.2256,50.5485,469.501,97.1989,50.4895,479.698,0.026728,0.058999,-10.1969
184,97.2368,50.5342,469.506,97.1944,50.476,479.7,0.0424412,0.0582263,-10.1939
185,97.2227,50.5259,469.509,97.2117,50.4825,479.695,0.0109964,0.0433327,-10.1859
186,97.2127,50.5107,469.526,97.2277,50.5254,479.686,-0.015031,-0.0146432,-10.16
187,97.2157,50.5216,469.514,97.2255,50.5289,479.683,-0.00986341,-0.00732155,-10.1695
188,97.2198,50.5311,469.505,97.2205,50.5096,479.687,-0.00074042,0.0215294,-10.1823
189,97.2228,50.5184,469.509,97.2143,50.5016,479.688,0.00846348,0.0167697,-10.1799
190,97.2191,50.514,469.517,97.2184,50.5162,479.683,0.000688813,-0.00221929,-10.1668
191,97.2145,50.5277,469.509,97.2325,50.5155,479.681,-0.0180611,0.0122523,-10.1724
192,97.2106,50.531,469.516,97.2321,50.525,479.677,-0.0215179,0.00599534,-10.1613
193,97.1965,50.5487,469.528,97.2369,50.5572,479.67,-0.0404059,-0.00854962,-10.1419
194,97.212,50.554,469.534,97.2496,50.601,479.659,-0.0376198,-0.0469947,-10.1258
195,97.2151,50.5807,469.527,97.261,50.6247,479.651,-0.045895,-0.0439964,-10.1239
196,97.23,50.6035,469.523,97.259,50.6279,479.649,-0.0289548,-0.0244543,-10.1257
197,97.2368,50.6169,469.533,97.2424,50.6424,479.644,-0.00557108,-0.0254548,-10.111
198,97.2352,50.6482,469.526,97.2298,50.6362,479.643,0.00536619,0.0119742,-10.1177
199,97.2378,50.6696,469.527,97.2382,50.6399,479.636,-0.000453129,0.0296916,-10.1089
200,97.2377,50.6908,469.533,97.2389,50.6508,479.63,-0.00119799,0.0400015,-10.0967
201,97.2299,50.7001,469.537,97.2325,50.6641,479.626,-0.00253098,0.035958,-10.0886
202,97.2213,50.7018,469.529,97.225,50.6569,479.627,-0.00375611,0.0448825,-10.0972
203,97.2258,50.7054,469.521,97.2342,50.6399,479.623,-0.00838137,0.0655006,-10.1021
204,97.2139,50.6803,469.522,97.2215,50.6215,479.624,-0.0076493,0.0588089,-10.1023
205,97.2191,50.6685,469.518,97.2222,50.6019,479.624,-0.0030877,0.0666427,-10.1066
206,97.2071,50.6394,469.511,97.2187,50.5719,479.625,-0.0115879,0.0675024,-10.1141
207,97.2127,50.5955,469.519,97.2277,50.5764,479.62,-0.0149205,0.0190651,-10.1002
208,97.1985,50.5991,469.502,97.2262,50.5387,479.624,-0.0276809,0.0604497,-10.1218
209,97.206,50.5546,469.498,97.2418,50.5099,479.625,-0.0357449,0.0447164,-10.1271
210,97.2151,50.5272,469.519,97.228,50.5217,479.627,-0.0129326,0.0054474,-10.1075
211,97.2088,50.5432,469.503,97.2136,50.4926,479.633,-0.00482044,0.0505133,-10.1299
212,97.2169,50.5355,469.514,97.2075,50.4949,479.634,0.009432,0.0406559,-10.1192
213,97.2247,50.5191,469.526,97.1898,50.5195,479.633,0.034809,-0.000319617,-10.1069
214,97.2297,50.5475,469.51,97.2001,50.5148,479.63,0.0295977,0.0327252,-10.1203
215,97.2369,50.5444,469.518,97.1969,50.5232,479.628,0.039984,0.0211946,-10.1101
216,97.2232,50.5499,469.512,97.2004,50.5194,479.626,0.0228241,0.0304367,-10.1146
217,97.2105,50.5273,469.499,97.2086,50.4968,479.627,0.001843,0.0304873,-10.1274
218,97.2032,50.512,469.503,97.2111,50.4832,479.626,-0.00791099,0.028815,-10.1228
219,97.1782,50.4954,469.527,97.213,50.5244,479.621,-0.034771,-0.0290217,-10.0939
220,97.1855,50.5356,469.542,97.2071,50.5828,479.613,-0.0216024,-0.0471975,-10.0705
221,97.186,50.599,469.534,97.2095,50.6112,479.605,-0.0234776,-0.0121529,-10.0712
222,97.1932,50.6041,469.525,97.201,50.6135,479.604,-0.00774292,-0.00942884,-10.0788
223,97.1927,50.5996,469.506,97.2041,50.5796,479.607,-0.0113831,0.0199835,-10.101
224,97.194,50.568,469.499,97.2078,50.5376,479.612,-0.0138297,0.0304132,-10.1133
225,97.1894,50.5203,469.519,97.2063,50.5504,479.607,-0.0169242,-0.0301014,-10.0881
226,97.1887,50.5188,469.525,97.1936,50.5686,479.607,-0.00498047,-0.049818,-10.0818
227,97.176,50.5521,469.514,97.1912,50.5587,479.609,-0.0151952,-0.00663936,-10.0958
228,97.1703,50.5499,469.503,97.196,50.5305,479.61,-0.025714,0.0194053,-10.1071
229,97.1529,50.5472,469.502,97.2073,50.5069,479.612,-0.0544207,0.0403846,-10.1103
230,97.1444,50.5122,469.494,97.2111,50.4707,479.615,-0.0667523,0.0414559,-10.1207
231,97.1522,50.4831,469.498,97.226,50.4578,479.616,-0.0738217,0.0253737,-10.1178
232,97.1509,50.4675,469.489,97.2121,50.4147,479.628,-0.0612462,0.0528261,-10.1391
233,97.1644,50.4307,469.5,97.2144,50.4135,479.631,-0.0499946,0.0172053,-10.1304
234,97.1653,50.4293,469.504,97.2198,50.4234,479.63,-0.0544629,0.00597755,-10.1261
235,97.1577,50.4108,469.509,97.2176,50.4408,479.632,-0.0598745,-0.0299469,-10.123
236,97.1571,50.4384,469.507,97.2156,50.4496,479.63,-0.0584296,-0.0112191,-10.1231
237,97.1617,50.4451,469.502,97.2172,50.4458,479.633,-0.0555278,-0.000748236,-10.131
238,97.1759,50.4508,469.482,97.2138,50.3975,479.641,-0.0379529,0.0532724,-10.1595
239,97.176,50.4005,469.49,97.2137,50.3796,479.648,-0.0376589,0.0209327,-10.1578
240,97.1836,50.3778,469.502,97.2132,50.3928,479.649,-0.0295993,-0.0149867,-10.1472
241,97.1736,50.3937,469.495,97.2027,50.3817,479.657,-0.0290756,0.0120205,-10.1619
242,97.1773,50.3953,469.477,97.1955,50.3359,479.668,-0.0181586,0.059432,-10.1909
243,97.1674,50.3622,469.483,97.1938,50.3131,479.678,-0.0264576,0.0490839,-10.1956
244,97.1753,50.3585,469.497,97.2005,50.3279,479.68,-0.0252058,0.0305745,-10.1829
245,97.1712,50.3675,469.494,97.2139,50.335,479.678,-0.0426488,0.0324235,-10.1849
246,97.1757,50.3637,469.503,97.2137,50.3575,479.68,-0.037935,0.0061903,-10.1773
247,97.1785,50.3722,469.502,97.2049,50.3694,479.685,-0.026347,0.0028178,-10.1835
248,97.1897,50.3876,469.491,97.21,50.3613,479.689,-0.0202256,0.026226,-10.1981
249,97.1777,50.3858,469.503,97.2183,50.3827,479.688,-0.0406062,0.00309243,-10.1842
250,97.1847,50.4144,469.514,97.2265,50.4208,479.683,-0.0418367,-0.0064223,-10.1696
251,97.1928,50.454,469.518,97.2068,50.445,479.686,-0.0139742,0.00900782,-10.1678
252,97.1974,50.4846,469.482,97.208,50.3943,479.694,-0.0105479,0.0903139,-10.2121
253,97.1947,50.4244,469.476,97.2024,50.3415,479.705,-0.00767912,0.0828753,-10.2291
254,97.1795,50.371,469.496,97.2001,50.3466,479.709,-0.0205562,0.0243768,-10.2122
255,97.1968,50.3886,469.489,97.2013,50.3347,479.713,-0.00450184,0.0538983,-10.2236
256,97.2013,50.3833,469.503,97.2,50.3531,479.713,0.00127781,0.0302392,-10.2103
257,97.1953,50.3962,469.51,97.2105,50.3886,479.71,-0.0152523,0.00759376,-10.2
258,97.2021,50.4132,469.52,97.2107,50.4335,479.707,-0.00857061,-0.0202488,-10.1874
259,97.2049,50.4559,469.521,97.2003,50.4659,479.707,0.00456961,-0.00992292,-10.1859
260,97.1955,50.5072,469.534,97.2024,50.5196,479.698,-0.00689657,-0.0123798,-10.1642
261,97.1677,50.5475,469.528,97.2057,50.5502,479.69,-0.0380122,-0.00272082,-10.1616
262,97.1722,50.567,469.525,97.2037,50.5646,479.686,-0.0314994,0.00244417,-10.1611
263,97.1626,50.5599,469.516,97.1979,50.5587,479.685,-0.0352277,0.00116554,-10.1692
264,97.1718,50.557,469.513,97.196,50.5479,479.687,-0.0242347,0.00912766,-10.1739
265,97.1718,50.5454,469.516,97.1943,50.5485,479.685,-0.0224649,-0.00307728,-10.169
266,97.1902,50.5573,469.511,97.2005,50.5401,479.685,-0.0103217,0.0172308,-10.1734
267,97.1853,50.5343,469.515,97.2117,50.5455,479.68,-0.0264725,-0.0112083,-10.1653
268,97.1847,50.526,469.512,97.2182,50.5449,479.678,-0.0334983,-0.0188899,-10.1661
269,97.1722,50.528,469.509,97.2307,50.5393,479.677,-0.0585486,-0.011305,-10.1679
270,97.1853,50.5216,469.501,97.229,50.5134,479.68,-0.0437545,0.00823369,-10.1787
271,97.1835,50.4985,469.505,97.2303,50.5036,479.682,-0.0468325,-0.00514648,-10.1772
272,97.1844,50.4866,469.521,97.2403,50.5358,479.676,-0.0559058,-0.0492246,-10.1548
273,97.1798,50.5052,469.518,97.2372,50.5497,479.673,-0.0574382,-0.0445124,-10.1546
274,97.1869,50.5239,469.532,97.2256,50.5829,479.671,-0.0387169,-0.0590049,-10.1392
275,97.1788,50.5418,469.517,97.2247,50.5835,479.669,-0.0458861,-0.0416922,-10.1518
276,97.1778,50.5317,469.513,97.2339,50.581,479.665,-0.0561346,-0.0493236,-10.1521
277,97.1794,50.538,469.533,97.2245,50.6114,479.662,-0.0450896,-0.0734104,-10.1289
278,97.1615,50.5786,469.515,97.2323,50.6027,479.659,-0.0707868,-0.0241289,-10.1436
279,97.1772,50.5589,469.509,97.2276,50.5791,479.661,-0.050377,-0.0202024,-10.1523
280,97.1881,50.5315,469.521,97.2277,50.5919,479.658,-0.0395378,-0.0603319,-10.137
281,97.1834,50.5522,469.521,97.2287,50.5995,479.654,-0.0452556,-0.0473311,-10.1332
282,97.1833,50.5489,469.508,97.2289,50.5788,479.656,-0.0456335,-0.0299179,-10.1474
283,97.1682,50.5333,469.503,97.2344,50.5543,479.657,-0.0661588,-0.0210243,-10.1537
284,97.1867,50.5112,469.51,97.242,50.5537,479.656,-0.0553022,-0.0424989,-10.1456
285,97.1827,50.5142,469.507,97.228,50.5339,479.661,-0.0453029,-0.0196828,-10.1544
286,97.177,50.5078,469.498,97.2261,50.5036,479.665,-0.0490398,0.00422428,-10.1672
287,97.1738,50.4936,469.505,97.2224,50.4934,479.668,-0.0486128,0.00015433,-10.1622
288,97.1776,50.4903,469.501,97.2273,50.4779,479.669,-0.049694,0.0124505,-10.1679
289,97.1767,50.4618,469.503,97.2277,50.4703,479.669,-0.0509455,-0.00858565,-10.1667
290,97.1923,50.4537,469.502,97.2327,50.4666,479.67,-0.0403955,-0.0129025,-10.1684
291,97.2133,50.4564,469.526,97.2257,50.5094,479.666,-0.0124155,-0.0529804,-10.1404
