Time,dx1,dx2,dx3,u1,u2,u3
122,0.0113603,0.0032906,3.6418e-08,0.118609,0.380619,0.122632
123,0.0107599,0.00311699,4.99279e-08,0.118643,0.38062,0.122631
124,0.0101913,0.00295252,6.07319e-08,0.118676,0.38062,0.122631
125,0.0096527,0.0027967,6.923e-08,0.118707,0.380621,0.12263
126,0.00914258,0.0026491,7.57679e-08,0.118736,0.380621,0.12263
127,0.00865941,0.00250927,8.06444e-08,0.118764,0.380622,0.122629
128,0.00820178,0.0023768,8.41169e-08,0.11879,0.380622,0.122629
129,0.00776833,0.00225132,8.64077e-08,0.118815,0.380623,0.122628
130,0.00735779,0.00213246,8.77081e-08,0.118838,0.380623,0.122628
131,0.00696895,0.00201986,8.81826e-08,0.118861,0.380623,0.122627
132,0.00660065,0.0019132,8.79725e-08,0.118882,0.380624,0.122627
133,0.00625182,0.00181216,8.71992e-08,0.118902,0.380624,0.122627
134,0.00592143,0.00171646,8.59665e-08,0.118921,0.380624,0.122626
135,0.00560849,0.0016258,8.43633e-08,0.118939,0.380625,0.122626
136,0.0053121,0.00153993,8.24654e-08,0.118955,0.380625,0.122626
137,0.00503137,0.00145859,8.03373e-08,0.118972,0.380625,0.122625
138,0.00476547,0.00138155,7.80339e-08,0.118987,0.380625,0.122625
139,0.00451362,0.00130857,7.56015e-08,0.119001,0.380626,0.122625
140,0.00427509,0.00123944,7.30794e-08,0.119015,0.380626,0.122625
141,0.00404916,0.00117396,7.05004e-08,0.119028,0.380626,0.122624
142,0.00383517,0.00111194,6.78921e-08,0.11904,0.380626,0.122624
143,0.00363249,0.0010532,6.52774e-08,0.119052,0.380627,0.122624
144,0.00344052,0.000997554,6.26753e-08,0.119063,0.380627,0.122624
145,0.0032587,0.000944849,6.01013e-08,0.119073,0.380627,0.122623
146,0.00308648,0.000894929,5.75681e-08,0.119083,0.380627,0.122623
147,0.00292337,0.000847644,5.50857e-08,0.119092,0.380627,0.122623
148,0.00276888,0.000802857,5.26623e-08,0.119101,0.380627,0.122623
149,0.00262255,0.000760436,5.0304e-08,0.11911,0.380627,0.122623
150,0.00248395,0.000720256,4.80155e-08,0.119118,0.380628,0.122623
151,0.00235268,0.000682198,4.58002e-08,0.119125,0.380628,0.122622
152,0.00222835,0.000646151,4.36604e-08,0.119132,0.380628,0.122622
153,0.00211058,0.000612008,4.15974e-08,0.119139,0.380628,0.122622
154,0.00199904,0.000579669,3.96119e-08,0.119145,0.380628,0.122622
155,0.0018934,0.000549038,3.77039e-08,0.119151,0.380628,0.122622
156,0.00179334,0.000520026,3.58728e-08,0.119157,0.380628,0.122622
157,0.00169856,0.000492546,3.41176e-08,0.119163,0.380628,0.122622
158,0.0016088,0.000466519,3.24371e-08,0.119168,0.380628,0.122622
159,0.00152378,0.000441866,3.08295e-08,0.119173,0.380629,0.122622
160,0.00144325,0.000418516,2.92931e-08,0.119177,0.380629,0.122622
161,0.00136698,0.0003964,2.7826e-08,0.119182,0.380629,0.122621
162,0.00129474,0.000375453,2.64259e-08,0.119186,0.380629,0.122621
163,0.00122631,0.000355612,2.50907e-08,0.11919,0.380629,0.122621
164,0.0011615,0.00033682,2.38182e-08,0.119193,0.380629,0.122621
165,0.00110012,0.000319021,2.2606e-08,0.119197,0.380629,0.122621
166,0.00104198,0.000302162,2.14519e-08,0.1192,0.380629,0.122621
167,0.000986916,0.000286194,2.03535e-08,0.119203,0.380629,0.122621
168,0.00093476,0.00027107,1.93086e-08,0.119206,0.380629,0.122621
169,0.00088536,0.000256745,1.8315e-08,0.119209,0.380629,0.122621
170,0.000838571,0.000243177,1.73704e-08,0.119212,0.380629,0.122621
171,0.000794254,0.000230326,1.64728e-08,0.119214,0.380629,0.122621
172,0.00075228,0.000218154,1.56199e-08,0.119217,0.380629,0.122621
173,0.000712524,0.000206626,1.48098e-08,0.119219,0.380629,0.122621
174,0.000674868,0.000195706,1.40406e-08,0.119221,0.380629,0.122621
175,0.000639203,0.000185364,1.33103e-08,0.119223,0.380629,0.122621
176,0.000605423,0.000175568,1.2617e-08,0.119225,0.380629,0.122621
177,0.000573428,0.00016629,1.19591e-08,0.119227,0.380629,0.122621
178,0.000543123,0.000157502,1.13348e-08,0.119229,0.380629,0.122621
179,0.00051442,0.000149178,1.07425e-08,0.119231,0.380629,0.122621
180,0.000487234,0.000141295,1.01807e-08,0.119232,0.38063,0.122621
181,0.000461485,0.000133828,9.64776e-09,0.119234,0.38063,0.12262
182,0.000437097,0.000126755,9.14234e-09,0.119235,0.38063,0.12262
183,0.000413997,0.000120057,8.66306e-09,0.119236,0.38063,0.12262
184,0.000392118,0.000113712,8.2086e-09,0.119238,0.38063,0.12262
185,0.000371396,0.000107703,7.77773e-09,0.119239,0.38063,0.12262
186,0.000351769,0.000102011,7.36926e-09,0.11924,0.38063,0.12262
187,0.000333178,9.66199e-05,6.98203e-09,0.119241,0.38063,0.12262
188,0.000315571,9.15138e-05,6.61499e-09,0.119242,0.38063,0.12262
189,0.000298894,8.66776e-05,6.26709e-09,0.119243,0.38063,0.12262
190,0.000283098,8.20969e-05,5.93736e-09,0.119244,0.38063,0.12262
191,0.000268137,7.77583e-05,5.62487e-09,0.119245,0.38063,0.12262
