Time,dx1,dx2,dx3,u1,u2,u3
110,-9.2463e-09,-2.54338e-08,0.000543896,0.270447,0.62082,0.339532
111,-2.31008e-09,-2.54189e-08,0.000115183,0.270453,0.62082,0.339568
112,3.64927e-09,-2.50522e-08,-0.000252766,0.270459,0.62082,0.339603
113,8.69086e-09,-2.439e-08,-0.000563669,0.270464,0.62082,0.339635
114,1.2878e-08,-2.34845e-08,-0.000821494,0.270469,0.62082,0.339664
115,1.62767e-08,-2.23836e-08,-0.00103037,0.270474,0.62082,0.339691
116,1.89543e-08,-2.11313e-08,-0.00119452,0.270478,0.62082,0.339715
117,2.09785e-08,-1.97668e-08,-0.00131815,0.270481,0.62082,0.339737
118,2.2416e-08,-1.83256e-08,-0.00140544,0.270484,0.62082,0.339757
119,2.33323e-08,-1.68389e-08,-0.00146046,0.270487,0.62082,0.339774
120,2.37904e-08,-1.53339e-08,-0.00148714,0.27049,0.62082,0.339789
121,2.38505e-08,-1.38344e-08,-0.00148923,0.270492,0.62082,0.339801
122,2.35698e-08,-1.23603e-08,-0.00147028,0.270494,0.62082,0.339812
123,2.30017e-08,-1.09286e-08,-0.00143361,0.270495,0.62082,0.339821
124,2.21959e-08,-9.55296e-09,-0.00138231,0.270496,0.62082,0.339828
125,2.11983e-08,-8.24442e-09,-0.00131922,0.270497,0.62082,0.339834
126,2.00506e-08,-7.01143e-09,-0.00124694,0.270498,0.62082,0.339838
127,1.87906e-08,-5.86017e-09,-0.00116782,0.270498,0.62082,0.339841
128,1.74523e-08,-4.79479e-09,-0.00108394,0.270499,0.62082,0.339842
129,1.60657e-08,-3.81762e-09,-0.000997168,0.270499,0.62082,0.339843
130,1.4657e-08,-2.92945e-09,-0.000909134,0.270499,0.62082,0.339843
131,1.32492e-08,-2.12969e-09,-0.000821247,0.270499,0.62082,0.339842
132,1.18617e-08,-1.41661e-09,-0.000734709,0.270498,0.62082,0.339841
133,1.05108e-08,-7.87546e-10,-0.000650529,0.270498,0.62082,0.339839
134,9.21009e-09,-2.39026e-10,-0.000569537,0.270498,0.62082,0.339836
135,7.97035e-09,2.33027e-10,-0.000492396,0.270497,0.62082,0.339834
136,6.79997e-09,6.33162e-10,-0.00041962,0.270497,0.62082,0.339831
137,5.70516e-09,9.66273e-10,-0.000351588,0.270496,0.62082,0.339828
138,4.69017e-09,1.23747e-09,-0.000288556,0.270496,0.62082,0.339825
139,3.75752e-09,1.45198e-09,-0.000230676,0.270495,0.62082,0.339822
140,2.90823e-09,1.61507e-09,-0.000178004,0.270495,0.62082,0.339819
141,2.14199e-09,1.73194e-09,-0.000130516,0.270494,0.62082,0.339816
142,1.45738e-09,1.80769e-09,-8.81182e-05,0.270494,0.62082,0.339813
143,8.52081e-10,1.84725e-09,-5.06613e-05,0.270493,0.62082,0.33981
144,3.22967e-10,1.85533e-09,-1.79479e-05,0.270493,0.62082,0.339807
145,-1.33671e-10,1.8364e-09,1.02564e-05,0.270492,0.62082,0.339804
146,-5.22018e-10,1.79465e-09,3.42149e-05,0.270492,0.62082,0.339802
147,-8.46602e-10,1.73398e-09,5.42116e-05,0.270492,0.62082,0.3398
148,-1.11218e-09,1.65799e-09,7.05444e-05,0.270491,0.62082,0.339798
149,-1.32363e-09,1.56997e-09,8.35188e-05,0.270491,0.62082,0.339796
150,-1.48589e-09,1.47289e-09,9.34428e-05,0.270491,0.62082,0.339794
151,-1.60386e-09,1.36943e-09,0.000100622,0.27049,0.62082,0.339793
152,-1.68233e-09,1.26194e-09,0.000105355,0.27049,0.62082,0.339792
153,-1.72595e-09,1.15252e-09,0.000107933,0.27049,0.62082,0.33979
154,-1.7392e-09,1.04297e-09,0.000108633,0.27049,0.62082,0.339789
155,-1.7263e-09,9.34829e-10,0.000107718,0.27049,0.62082,0.339789
156,-1.69124e-09,8.29404e-10,0.000105436,0.27049,0.62082,0.339788
157,-1.63773e-09,7.27765e-10,0.000102018,0.27049,0.62082,0.339787
158,-1.56919e-09,6.30778e-10,9.76771e-05,0.270489,0.62082,0.339787
159,-1.48878e-09,5.39116e-10,9.26071e-05,0.270489,0.62082,0.339787
160,-1.39933e-09,4.53282e-10,8.6985e-05,0.270489,0.62082,0.339786
161,-1.30341e-09,3.73622e-10,8.09695e-05,0.270489,0.62082,0.339786
162,-1.20329e-09,3.00348e-10,7.47016e-05,0.270489,0.62082,0.339786
163,-1.10098e-09,2.33551e-10,6.83053e-05,0.270489,0.62082,0.339786
164,-9.98221e-10,1.73219e-10,6.18883e-05,0.270489,0.62082,0.339786
165,-8.96512e-10,1.19252e-10,5.5543e-05,0.270489,0.62082,0.339786
166,-7.97114e-10,7.14742e-11,4.93474e-05,0.270489,0.62082,0.339786
